scale,variant,method,preference,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,feasible,violation_count,runtime_seconds,train_time_seconds
small,heuristic,Heuristic,1.00_0.00,1699.541046,17.98351292018048,1.0,1.0,1699.541046,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.75_0.25,1699.541046,17.98351292018048,1.0,1.0,1279.151662730045,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.50_0.50,1699.541046,17.98351292018048,1.0,1.0,858.7622794600902,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.25_0.75,1699.541046,17.98351292018048,1.0,1.0,438.37289619013535,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.00_1.00,1699.541046,17.98351292018048,1.0,1.0,17.98351292018048,1.0,1.0,True,0,0.0,
small,full_transformer,PPO,1.00_0.00,1614.353046,17.08578409953668,0.9498758796084998,0.9500804528776801,1614.353046,0.9498758796084998,0.9498758796084998,True,0,0.2964624000014737,1.6580762999365106
small,full_transformer,PPO,0.75_0.25,1614.353046,10.953474791070585,0.9498758796084998,0.6090842673334959,1213.5031531977675,0.8646779765397489,0.8646779765397489,True,0,0.28776739991735667,1.6580762999365106
small,full_transformer,PPO,0.50_0.50,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,834.9652950379285,0.7556931088186694,0.7556931088186694,True,0,0.2859259999822825,1.6580762999365106
small,full_transformer,PPO,0.25_0.75,1660.3190460000003,9.611544075857285,0.9769220048598933,0.5344642127774457,422.288419556893,0.6450786607980576,0.6450786607980576,True,0,0.2903360000345856,1.6580762999365106
small,full_transformer,PPO,0.00_1.00,1660.3190460000003,9.611544075857285,0.9769220048598933,0.5344642127774457,9.611544075857285,0.5344642127774457,0.5344642127774457,True,0,0.29500879999250174,1.6580762999365106
small,hybrid_transformer_fc,PPO,1.00_0.00,1614.353046,17.08578409953668,0.9498758796084998,0.9500804528776801,1614.353046,0.9498758796084998,0.9498758796084998,True,0,0.29149800003506243,1.1257561999373138
small,hybrid_transformer_fc,PPO,0.75_0.25,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,1247.6421705189643,0.8663075568392813,0.8663075568392813,True,0,0.2921553999185562,1.1257561999373138
small,hybrid_transformer_fc,PPO,0.50_0.50,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,834.9652950379285,0.7556931088186694,0.7556931088186694,True,0,0.2922125000040978,1.1257561999373138
small,hybrid_transformer_fc,PPO,0.25_0.75,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,422.2884195568929,0.6450786607980575,0.6450786607980575,True,0,0.28449360001832247,1.1257561999373138
small,hybrid_transformer_fc,PPO,0.00_1.00,1660.3190460000003,9.611544075857285,0.9769220048598933,0.5344642127774457,9.611544075857285,0.5344642127774457,0.5344642127774457,True,0,0.28859569993801415,1.1257561999373138
small,no_preference_token,PPO,1.00_0.00,1614.353046,17.08578409953668,0.9498758796084998,0.9500804528776801,1614.353046,0.9498758796084998,0.9498758796084998,True,0,0.2933095000917092,1.0979304000502452
small,no_preference_token,PPO,0.75_0.25,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,1247.6421705189643,0.8663075568392813,0.8663075568392813,True,0,0.2852632000576705,1.0979304000502452
small,no_preference_token,PPO,0.50_0.50,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,834.9652950379285,0.7556931088186694,0.7556931088186694,True,0,0.29067539994139224,1.0979304000502452
small,no_preference_token,PPO,0.25_0.75,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,422.2884195568929,0.6450786607980575,0.6450786607980575,True,0,0.29408880008850247,1.0979304000502452
