scale,variant,iteration,episode_reward,best_objective
small,full_transformer,0,-0.9746279120445251,1556.8865083898525
small,full_transformer,1,-7.979896068572998,1460.9330525858638
small,full_transformer,2,-3.9360153675079346,1203.2864055361076
small,full_transformer,3,-2.9701426029205322,1344.8483474318325
small,full_transformer,4,-0.7903804779052734,623.2269882697314
small,full_transformer,5,-2.8565592765808105,202.3674140506434
small,full_transformer,6,-0.9590780138969421,846.5014796125058
small,full_transformer,7,-5.070000171661377,1685.9043939890787
small,full_transformer,8,-2.9495670795440674,1377.6142522909156
small,full_transformer,9,-1.0729706287384033,942.7702664696866
small,full_transformer,10,-2.7741856575012207,447.9260022091211
small,full_transformer,11,-0.05400189757347107,1206.5381906949017
small,full_transformer,12,-1.8580708503723145,806.0230574961329
small,full_transformer,13,-1.9857702255249023,428.7370115721872
small,full_transformer,14,-0.11999998241662979,1200.3921607778364
small,full_transformer,15,-2.0261871814727783,284.0679903406393
small,full_transformer,16,-3.0512924194335938,617.2725051498468
small,full_transformer,17,-2.0145103931427,1471.0955913652301
small,full_transformer,18,0.1392916887998581,552.8279913230929
small,full_transformer,19,-2.6600966453552246,46.18632920024415
small,hybrid_transformer_fc,0,-4.010185718536377,1534.3078075419046
small,hybrid_transformer_fc,1,-5.955838680267334,1519.5458368608781
small,hybrid_transformer_fc,2,-3.948554754257202,1196.1550221484183
small,hybrid_transformer_fc,3,-5.902958869934082,1344.555615495867
small,hybrid_transformer_fc,4,-2.7967591285705566,644.1460732534504
small,hybrid_transformer_fc,5,-2.2301723957061768,194.9802936893397
small,hybrid_transformer_fc,6,-1.7052454948425293,864.6725794765381
small,hybrid_transformer_fc,7,-0.9524566531181335,1626.3355356225159
small,hybrid_transformer_fc,8,-2.993269920349121,1402.3097635310633
small,hybrid_transformer_fc,9,-2.842008590698242,940.0301079247093
small,hybrid_transformer_fc,10,-2.9470670223236084,451.7916828105887
small,hybrid_transformer_fc,11,-2.0481667518615723,1213.0337995596494
small,hybrid_transformer_fc,12,-4.810058116912842,809.1145698064905
small,hybrid_transformer_fc,13,-3.8757095336914062,428.7370115721872
small,hybrid_transformer_fc,14,-3.8881280422210693,1184.304558300904
small,hybrid_transformer_fc,15,-1.68557870388031,281.6178766891023
small,hybrid_transformer_fc,16,-2.7635657787323,590.7696788922087
small,hybrid_transformer_fc,17,-4.967587471008301,1436.045261862583
small,hybrid_transformer_fc,18,-1.601093053817749,539.5413517087217
small,hybrid_transformer_fc,19,0.23410478234291077,48.185086704262275
small,no_preference_token,0,-0.9746279120445251,1556.8865083898525
small,no_preference_token,1,-5.9431915283203125,1460.3440347826697
small,no_preference_token,2,-3.9360153675079346,1203.2864055361076
small,no_preference_token,3,-2.9513611793518066,1344.8483474318325
small,no_preference_token,4,-0.7903804779052734,623.2269882697314
small,no_preference_token,5,-2.8565592765808105,202.3674140506434
small,no_preference_token,6,-0.8659617304801941,877.4175897178795
small,no_preference_token,7,-5.070000171661377,1685.9043939890787
small,no_preference_token,8,-2.9495670795440674,1377.6142522909156
small,no_preference_token,9,-1.0729706287384033,942.7702664696866
small,no_preference_token,10,-2.7513816356658936,448.3341929986092
small,no_preference_token,11,-0.05400189757347107,1206.5381906949017
small,no_preference_token,12,-1.8580708503723145,806.0230574961329
small,no_preference_token,13,-0.9957702159881592,428.7370115721872
small,no_preference_token,14,-0.11999998241662979,1200.3921607778364
small,no_preference_token,15,-2.0261871814727783,284.0679903406393
small,no_preference_token,16,-3.0114848613739014,600.8351354090091
small,no_preference_token,17,-2.0145103931427,1471.0955913652301
small,no_preference_token,18,0.12136339396238327,554.4559100209641
small,no_preference_token,19,-2.6600966453552246,46.18632920024415
small,no_route_arc_tokens,0,-0.9746279120445251,1556.8865083898525
small,no_route_arc_tokens,1,-7.979896545410156,1460.9330525858638
small,no_route_arc_tokens,2,-3.9360153675079346,1203.2864055361076
small,no_route_arc_tokens,3,-2.9844417572021484,1344.8483474318325
small,no_route_arc_tokens,4,-0.7903804779052734,623.2269882697314
small,no_route_arc_tokens,5,-3.0749430656433105,204.01067387222807
small,no_route_arc_tokens,6,-0.9590780138969421,846.5014796125058
small,no_route_arc_tokens,7,-4.079999923706055,1685.9043939890787
small,no_route_arc_tokens,8,-2.9495670795440674,1377.6142522909156
small,no_route_arc_tokens,9,-0.08297065645456314,942.7702664696866
small,no_route_arc_tokens,10,-2.7741856575012207,447.9260022091211
small,no_route_arc_tokens,11,-1.0717530250549316,1213.3319432390524
small,no_route_arc_tokens,12,-3.0299789905548096,809.1145698064905
small,no_route_arc_tokens,13,-2.765846014022827,418.34483672305805
small,no_route_arc_tokens,14,-0.11999998241662979,1200.3921607778364
small,no_route_arc_tokens,15,-2.0261871814727783,284.0679903406393
small,no_route_arc_tokens,16,-2.021484851837158,600.8351354090091
small,no_route_arc_tokens,17,-0.9592738747596741,1397.4632802219157
small,no_route_arc_tokens,18,0.1392916887998581,552.8279913230929
small,no_route_arc_tokens,19,-3.0559210777282715,53.5226871681983
large,full_transformer,0,-12.0,28182.874832104804
large,full_transformer,1,-12.0,27552.02987437352
large,full_transformer,2,-12.0,21960.747334181964
large,full_transformer,3,-12.0,24863.778541986976
large,full_transformer,4,-12.0,12825.186193361184
large,full_transformer,5,-12.0,5174.406230246213
large,full_transformer,6,-12.0,16701.244128694903
large,full_transformer,7,-12.0,30032.657928838824
large,full_transformer,8,-12.0,25293.573362489293
large,full_transformer,9,-12.0,17657.16135120942
large,full_transformer,10,-12.0,9524.632142409053
large,full_transformer,11,-12.0,22105.41944534042
large,full_transformer,12,-12.0,16040.995915806154
large,full_transformer,13,-12.0,8944.112377194466
large,full_transformer,14,-12.0,21888.359095479038
large,full_transformer,15,-12.0,6517.339867166361
large,full_transformer,16,-12.0,12106.729702478966
large,full_transformer,17,-12.0,26429.314983114025
large,full_transformer,18,-12.0,11122.797912717338
large,full_transformer,19,-12.0,2660.6345599654815
large,hybrid_transformer_fc,0,-12.0,28182.874832104804
large,hybrid_transformer_fc,1,-12.0,27552.02987437352
large,hybrid_transformer_fc,2,-12.0,21960.747334181964
large,hybrid_transformer_fc,3,-12.0,24863.778541986976
large,hybrid_transformer_fc,4,-12.0,12825.186193361184
large,hybrid_transformer_fc,5,-12.0,5174.406230246213
large,hybrid_transformer_fc,6,-12.0,16701.244128694903
large,hybrid_transformer_fc,7,-12.0,30032.657928838824
large,hybrid_transformer_fc,8,-12.0,25293.573362489293
large,hybrid_transformer_fc,9,-12.0,17657.16135120942
large,hybrid_transformer_fc,10,-12.0,9524.632142409053
large,hybrid_transformer_fc,11,-12.0,22105.41944534042
large,hybrid_transformer_fc,12,-12.0,16040.995915806154
large,hybrid_transformer_fc,13,-12.0,8944.112377194466
large,hybrid_transformer_fc,14,-12.0,21888.359095479038
large,hybrid_transformer_fc,15,-12.0,6517.339867166361
large,hybrid_transformer_fc,16,-12.0,12106.729702478966
large,hybrid_transformer_fc,17,-12.0,26429.314983114025
large,hybrid_transformer_fc,18,-12.0,11122.797912717338
large,hybrid_transformer_fc,19,-12.0,2660.6345599654815
large,no_preference_token,0,-12.0,28182.874832104804
large,no_preference_token,1,-12.0,27552.02987437352
large,no_preference_token,2,-12.0,21960.747334181964
large,no_preference_token,3,-12.0,24863.778541986976
large,no_preference_token,4,-12.0,12825.186193361184
large,no_preference_token,5,-12.0,5174.406230246213
large,no_preference_token,6,-12.0,16701.244128694903
large,no_preference_token,7,-12.0,30032.657928838824
large,no_preference_token,8,-12.0,25293.573362489293
large,no_preference_token,9,-12.0,17657.16135120942
large,no_preference_token,10,-12.0,9524.632142409053
large,no_preference_token,11,-12.0,22105.41944534042
large,no_preference_token,12,-12.0,16040.995915806154
large,no_preference_token,13,-12.0,8944.112377194466
large,no_preference_token,14,-12.0,21888.359095479038
large,no_preference_token,15,-12.0,6517.339867166361
large,no_preference_token,16,-12.0,12106.729702478966
large,no_preference_token,17,-12.0,26429.314983114025
large,no_preference_token,18,-12.0,11122.797912717338
large,no_preference_token,19,-12.0,2660.6345599654815
large,no_route_arc_tokens,0,-12.0,28182.874832104804
large,no_route_arc_tokens,1,-12.0,27552.02987437352
large,no_route_arc_tokens,2,-12.0,21960.747334181964
large,no_route_arc_tokens,3,-12.0,24863.778541986976
large,no_route_arc_tokens,4,-12.0,12825.186193361184
large,no_route_arc_tokens,5,-12.0,5174.406230246213
large,no_route_arc_tokens,6,-12.0,16701.244128694903
large,no_route_arc_tokens,7,-12.0,30032.657928838824
large,no_route_arc_tokens,8,-12.0,25293.573362489293
large,no_route_arc_tokens,9,-12.0,17657.16135120942
large,no_route_arc_tokens,10,-12.0,9524.632142409053
