preference,selected_repeat,solution_id,ppo_cost,ppo_risk,ppo_J,milp_J,relative_difference_percent,ppo_total_seconds,milp_seconds,milp_proven_optimal,milp_cost,milp_risk,milp_original_result_path,milp_original_result_sha256,milp_cleanup_seconds,milp_cleanup_source_sha256,milp_solver_objective_difference
"(1.0, 0.0)",0,b9b1197d85bc3fc94c2518dee3eed71e349ef98720b90ee5cfe507bb0eeef8a5,1138.513303,9.934569483241575,0.8220360430094659,0.822036043009466,-1.3505770629723738e-14,7.382846899912693,6.466917400015518,True,1138.5133030000002,10.569650114003032,output/pareto-single-instance-v3/milp/p0.json,613b51bdfb9f8615629188cab6c8ce0e15be1630d50d411fc64d28faf3c56cd3,0.00995029998011887,9edaf492a4f4e1e028583992d25c84af0ac33a55f44862f05cba3caa2bd4a21c,1.1102230246251565e-16
"(0.75, 0.25)",0,99b4c77d712b2fc610087dfd7dceac70be57b62fe9f83b5c2a1937603c9d8a4d,1138.513303,9.70856709513625,0.839681342379518,0.8396813423794831,4.15169436472663e-12,6.861844799946994,45.87457730004098,True,1138.513302999973,9.708567095135368,output/pareto-single-instance-v3/milp/p1.json,6b9ee5da35899da21fb5fe4640d55a1fbff35e751768742c8a0647d9fafcc134,0.013701600022614002,9edaf492a4f4e1e028583992d25c84af0ac33a55f44862f05cba3caa2bd4a21c,-1.2545520178264269e-14
"(0.5, 0.5)",0,0e28248fa134b3b4c12abb4d66d571f0639de09423a6ad0282d4f63df3f6e507,1257.611207,7.711766174885781,0.8085283954970808,0.8085283954970532,3.405388254023817e-12,6.9800878000678495,171.8881988999201,True,1257.611206999992,7.7117661748852475,output/pareto-single-instance-v3/milp/p2.json,bdd071073023f1761a2f2518402a7003a3adc1ecc532c791ce82b8209d7b564c,0.008934500045143068,9edaf492a4f4e1e028583992d25c84af0ac33a55f44862f05cba3caa2bd4a21c,5.84899506606007e-09
"(0.25, 0.75)",1,cc6ca1324da64e8ba9eb0f083ff32e09c2f018b0b018961dc0cb7451b9de355e,1909.9442070000002,4.611911109190471,0.6627757324396144,0.6627756234563661,1.6443460570625453e-05,7.029529700055718,3600.1909463000484,False,1909.9441585038492,4.611909655661662,output/pareto-single-instance-v3/milp/p3.json,c7fbfa846d83da7b1fa1df44f8985fd856740e34b4c9140fe7b190db504fd51d,0.009158200002275407,9edaf492a4f4e1e028583992d25c84af0ac33a55f44862f05cba3caa2bd4a21c,-1.6846146810856055e-08
"(0.0, 1.0)",0,ac7ac888f7629862f2a8676edf8ec1ce1f5ecb3884f8088e20e52d21ae432ad8,2250.134207,3.7573001091904707,0.34545065428216865,0.3320332111509728,4.04099429833694,7.138619299978018,3600.2808913000626,False,2396.798168443192,3.6113650532946995,output/pareto-single-instance-v3/milp/p4.json,d5a333e1f3bb3356e45b411e73b7fed3edef75e32a77c191c2226c23206f2c69,0.009130699909292161,9edaf492a4f4e1e028583992d25c84af0ac33a55f44862f05cba3caa2bd4a21c,-3.854125529834107e-08
