scale,instance,iteration,episode_reward,best_objective
small,0,0,-13.15061498335265,14.329469200071607
small,0,1,-13.768476511582914,66.0390809425945
small,0,2,-13.401045836781826,48.0955477266173
small,0,3,-12.288260537702415,20.88942918026007
small,0,4,-13.711312604094445,6.240751115095953
small,0,5,-12.604645483775432,106.48215708204371
small,0,6,-12.772730998267832,78.02127917983489
small,0,7,-12.050606285868122,81.1380758431203
small,0,8,-12.004912486351992,15.877158976615526
small,0,9,-11.521180744199341,10.79363942574326
small,0,10,-9.306738058686495,38.958702146759485
small,0,11,-9.924942569597789,36.93778433084075
small,0,12,-9.317179596523385,7.9195271475046685
small,0,13,-9.48492775974992,5.955642964757465
small,0,14,-10.200160507592523,12.828357364096872
small,0,15,-9.006909237080981,90.48432006599239
small,0,16,-8.58674674435914,13.492369500728282
small,0,17,-8.487010153758423,32.24293551354569
small,0,18,-9.4880249943458,40.823057768943144
small,0,19,-7.070152072670067,19.361564354556506
large,0,0,-5.377945165187905,2611.6366264747094
large,0,1,-3.157338144565344,1831.2712445217935
large,0,2,-2.245971730940572,1861.5447297213318
large,0,3,-1.7402753784431513,2636.3442248488504
large,0,4,-1.6280839335864319,1813.8011788352055
large,0,5,-1.2635062119543998,3968.3072694851708
large,0,6,-1.3516167313639247,2810.040062847792
large,0,7,-1.1590987701024835,3493.4371375520755
large,0,8,-0.566157087165083,2824.8702602642597
large,0,9,-0.6953221907692978,1654.1737373966268
large,0,10,-0.5336709208125723,3773.9474064238784
large,0,11,-0.7901306396533344,1809.4588947774257
large,0,12,-0.8456104912567157,2266.1048922100263
large,0,13,-0.7262255096616116,1883.459016442061
large,0,14,-0.9181567545435274,2094.60009487198
large,0,15,-0.6305609801592874,3782.0661238168295
large,0,16,-0.6935280924085812,3053.1476540656663
large,0,17,-0.47730809395898727,2355.111686917645
large,0,18,-0.7777152250991654,1985.3269792782812
large,0,19,-0.43662264335387735,2953.343122857633
