scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,fallback_used,fallback_reason,runtime_seconds,ppo_train_time,solver_status
small,0,1.00_0.00,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,1523.3888989999998,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,4.199915565550327e-06,,
small,0,1.00_0.00,GA,1523.3888989999998,7.043549648846332,1.0,1.0,1523.3888989999998,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,3.232733999961056,,
small,0,1.00_0.00,PPO,1315.9827129999999,6.005945456190973,0.8638521088501119,0.8526873175622026,1315.9827129999999,0.8638521088501119,0.8638521088501119,1523.3888989999998,7.043549648846332,100.0,1033.0259999999998,182.95671299999998,1.9148904561909719,0.0,4.091055000000001,0.0,True,0,False,,1.147407199954614,374.3726573000895,
small,0,1.00_0.00,MILP,1268.090677,5.414060541309027,0.8324142822836732,0.7686551257853063,1268.090677,0.8324142822836732,0.8324142822836732,1523.3888989999998,7.043549648846332,150.0,927.018,191.07267699999994,1.1235659426109865,0.19943959869803998,4.091055000000001,0.0,True,0,False,,15.72677389997989,,optimal
small,0,0.75_0.25,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,1144.3025616622115,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,5.09992241859436e-06,,
small,0,0.75_0.25,GA,1523.3888989999998,7.043549648846332,1.0,1.0,1144.3025616622115,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,3.3133571000071242,,
small,0,0.75_0.25,PPO,1331.669713,5.474848022203406,0.874149545053236,0.7772853596765852,1000.1209967555508,0.8499334987090734,0.8499334987090734,1523.3888989999998,7.043549648846332,100.0,1048.713,182.95671299999998,1.383793022203405,0.0,4.091055000000001,0.0,True,0,False,,1.5876902000745758,374.3726573000895,
small,0,0.75_0.25,MILP,1268.090677,5.397724048066742,0.8324142822836732,0.7663357706225353,952.4174387620166,0.8158946543683887,0.8158946543683887,1523.3888989999998,7.043549648846332,150.0,927.0179999999999,191.07267699999997,1.107229449368701,0.19943959869803998,4.091055000000001,0.0,True,0,False,,47.26215389999561,,optimal
small,0,0.50_0.50,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,765.216224324423,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,2.800021320581436e-06,,
small,0,0.50_0.50,GA,1523.3888989999998,7.043549648846332,1.0,1.0,765.216224324423,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,3.2640827998984605,,
small,0,0.50_0.50,PPO,1388.9087129999998,5.145124879056174,0.911723010395916,0.7304732891176393,697.026918939528,0.8210981497567776,0.8210981497567776,1523.3888989999998,7.043549648846332,150.0,1055.9519999999998,182.95671299999998,1.0540698790561729,0.0,4.091055000000001,0.0,True,0,False,,1.4286133999703452,374.3726573000895,
