scale,variant,iteration,episode_reward,best_objective
small,full_transformer,0,-10.11599237718658,30.178135235645282
small,full_transformer,1,-10.185991054035735,16.79094651087841
small,full_transformer,2,-9.620379189744872,49.20463951746826
small,full_transformer,3,-10.22593115240794,11.620359868990976
small,full_transformer,4,-9.487089248493353,42.85725953455824
small,full_transformer,5,-9.276358496131428,14.806491376674341
small,full_transformer,6,-9.196290615107825,43.842054781391745
small,full_transformer,7,-8.937721585946003,20.34893600273781
small,full_transformer,8,-9.514540408485328,53.850057915195634
small,full_transformer,9,-8.972689832336696,62.38949686424496
small,full_transformer,10,-8.585063199323029,23.089227989423218
small,full_transformer,11,-8.744176245878746,25.654688772342496
small,full_transformer,12,-9.043738533861879,45.89742995745355
small,full_transformer,13,-8.649323609734001,25.99525389026492
small,full_transformer,14,-8.290564921835006,89.25190571144813
small,full_transformer,15,-7.650664002974973,16.63181950119229
small,full_transformer,16,-7.5611295124938955,11.594698359094043
small,full_transformer,17,-8.368223552211877,82.93415285744256
small,full_transformer,18,-7.731062890274424,48.310027547861395
small,full_transformer,19,-7.925058025803955,18.913766305502172
small,hybrid_transformer_fc,0,-10.500443002690135,30.723118724797324
small,hybrid_transformer_fc,1,-10.256759311191292,16.79094651087841
small,hybrid_transformer_fc,2,-10.042140710495671,51.45881695271657
small,hybrid_transformer_fc,3,-10.060142996869327,11.620359868990976
small,hybrid_transformer_fc,4,-9.672760879452191,44.692744649387095
small,hybrid_transformer_fc,5,-9.867154024586068,14.806491376674341
small,hybrid_transformer_fc,6,-10.040089890792277,45.71761579139402
small,hybrid_transformer_fc,7,-9.290581324543435,19.564877540064046
small,hybrid_transformer_fc,8,-8.744820100096174,53.27942338461532
small,hybrid_transformer_fc,9,-8.522715126682915,61.2111210264045
small,hybrid_transformer_fc,10,-8.373709622500986,23.039860288792113
small,hybrid_transformer_fc,11,-8.149865721733839,25.63131275820851
small,hybrid_transformer_fc,12,-8.677187222928328,48.392195132003415
small,hybrid_transformer_fc,13,-8.657055852689728,26.241896263238292
small,hybrid_transformer_fc,14,-8.805349503809172,94.09942776916539
small,hybrid_transformer_fc,15,-8.316201241702725,16.63181950119229
small,hybrid_transformer_fc,16,-8.389063874017962,11.594698359094043
small,hybrid_transformer_fc,17,-8.262438552286174,79.14866593254351
small,hybrid_transformer_fc,18,-8.250867894257173,48.49848807964666
small,hybrid_transformer_fc,19,-7.975625098361907,18.727210353581434
small,no_preference_token,0,-10.118799891810372,30.178135235645282
small,no_preference_token,1,-9.940897204037066,16.36494735936336
small,no_preference_token,2,-9.699144010805476,51.45881695271657
small,no_preference_token,3,-10.194477707518768,11.620359868990976
small,no_preference_token,4,-9.306412102968801,41.5565924961888
small,no_preference_token,5,-10.065585706472108,14.426981394923528
small,no_preference_token,6,-9.644006170961566,44.24339099791018
small,no_preference_token,7,-9.27258220066593,19.579345388627278
small,no_preference_token,8,-8.706742637360207,49.714712674352924
small,no_preference_token,9,-9.482907543725116,59.80111401550543
small,no_preference_token,10,-9.184567433178854,22.353507597208697
small,no_preference_token,11,-8.03611501148468,26.117918744962722
small,no_preference_token,12,-8.550538926921828,46.6467409906514
small,no_preference_token,13,-7.999482773998649,24.854687335125135
small,no_preference_token,14,-7.781157672737417,92.0754148452543
small,no_preference_token,15,-7.940548294240285,16.770429588302754
small,no_preference_token,16,-7.021267976871252,11.490653864246015
small,no_preference_token,17,-8.463492237642491,83.86550815343901
small,no_preference_token,18,-7.51167551918564,48.14825508024432
small,no_preference_token,19,-7.33022056825425,17.605242950128538
small,no_route_arc_tokens,0,-10.208644570887138,30.178135235645282
small,no_route_arc_tokens,1,-9.753833108958512,16.79094651087841
small,no_route_arc_tokens,2,-10.176481613992548,48.51906508155424
small,no_route_arc_tokens,3,-10.287541077647855,11.620359868990976
small,no_route_arc_tokens,4,-9.678486486125463,44.82648463092078
small,no_route_arc_tokens,5,-9.402795623902701,13.921820547379747
small,no_route_arc_tokens,6,-9.096705434350953,44.256206325766605
small,no_route_arc_tokens,7,-9.457856846058876,19.64322002818576
small,no_route_arc_tokens,8,-8.617160736564388,54.16747138271384
small,no_route_arc_tokens,9,-9.049907853287937,59.31471259127257
small,no_route_arc_tokens,10,-8.256757827367805,22.60083512210103
small,no_route_arc_tokens,11,-9.070258539667288,25.73437032880036
small,no_route_arc_tokens,12,-8.717243236924642,47.82172949973446
small,no_route_arc_tokens,13,-8.672155154934737,26.241896263238292
small,no_route_arc_tokens,14,-7.328636682108359,87.22789278753706
small,no_route_arc_tokens,15,-9.244711425677671,17.057964300607683
small,no_route_arc_tokens,16,-7.825726086805423,11.594698359094043
small,no_route_arc_tokens,17,-7.161372730322491,82.26439280743341
small,no_route_arc_tokens,18,-8.429989870919535,51.24444224539228
small,no_route_arc_tokens,19,-7.652945282996302,18.79417031214927
large,full_transformer,0,-24.0,2412.2206163810397
large,full_transformer,1,-24.0,2154.0830194506216
large,full_transformer,2,-24.0,2807.5220363922003
large,full_transformer,3,-24.0,2063.4244580849595
large,full_transformer,4,-24.0,2660.6345599654815
large,full_transformer,5,-24.0,2119.2885444670305
large,full_transformer,6,-24.0,2719.6381870461837
large,full_transformer,7,-24.0,2219.327582549562
large,full_transformer,8,-24.0,2834.891760805434
large,full_transformer,9,-24.0,3022.787667959525
large,full_transformer,10,-24.0,2267.120127219017
large,full_transformer,11,-24.0,2336.1460143222125
large,full_transformer,12,-24.0,2777.374518092628
large,full_transformer,13,-24.0,2319.7913940375606
large,full_transformer,14,-24.0,3647.2774762112404
large,full_transformer,15,-24.0,2158.764780022969
large,full_transformer,16,-24.0,2062.9745216017604
large,full_transformer,17,-24.0,3440.8104509490313
large,full_transformer,18,-24.0,2766.0081482991745
large,full_transformer,19,-24.0,2191.3035133613257
large,hybrid_transformer_fc,0,-24.0,2412.2206163810397
large,hybrid_transformer_fc,1,-24.0,2154.0830194506216
large,hybrid_transformer_fc,2,-24.0,2807.5220363922003
large,hybrid_transformer_fc,3,-24.0,2063.4244580849595
large,hybrid_transformer_fc,4,-24.0,2660.6345599654815
large,hybrid_transformer_fc,5,-24.0,2119.2885444670305
large,hybrid_transformer_fc,6,-24.0,2719.6381870461837
large,hybrid_transformer_fc,7,-24.0,2219.327582549562
large,hybrid_transformer_fc,8,-24.0,2834.891760805434
large,hybrid_transformer_fc,9,-24.0,3022.787667959525
large,hybrid_transformer_fc,10,-24.0,2267.120127219017
large,hybrid_transformer_fc,11,-24.0,2336.1460143222125
large,hybrid_transformer_fc,12,-24.0,2777.374518092628
large,hybrid_transformer_fc,13,-24.0,2319.7913940375606
large,hybrid_transformer_fc,14,-24.0,3647.2774762112404
large,hybrid_transformer_fc,15,-24.0,2158.764780022969
large,hybrid_transformer_fc,16,-24.0,2062.9745216017604
large,hybrid_transformer_fc,17,-24.0,3440.8104509490313
large,hybrid_transformer_fc,18,-24.0,2766.0081482991745
large,hybrid_transformer_fc,19,-24.0,2191.3035133613257
large,no_preference_token,0,-24.0,2412.2206163810397
large,no_preference_token,1,-24.0,2154.0830194506216
large,no_preference_token,2,-24.0,2807.5220363922003
large,no_preference_token,3,-24.0,2063.4244580849595
large,no_preference_token,4,-24.0,2660.6345599654815
large,no_preference_token,5,-24.0,2119.2885444670305
large,no_preference_token,6,-24.0,2719.6381870461837
large,no_preference_token,7,-24.0,2219.327582549562
large,no_preference_token,8,-24.0,2834.891760805434
large,no_preference_token,9,-24.0,3022.787667959525
large,no_preference_token,10,-24.0,2267.120127219017
large,no_preference_token,11,-24.0,2336.1460143222125
large,no_preference_token,12,-24.0,2777.374518092628
large,no_preference_token,13,-24.0,2319.7913940375606
large,no_preference_token,14,-24.0,3647.2774762112404
large,no_preference_token,15,-24.0,2158.764780022969
large,no_preference_token,16,-24.0,2062.9745216017604
large,no_preference_token,17,-24.0,3440.8104509490313
large,no_preference_token,18,-24.0,2766.0081482991745
large,no_preference_token,19,-24.0,2191.3035133613257
large,no_route_arc_tokens,0,-24.0,2412.2206163810397
large,no_route_arc_tokens,1,-24.0,2154.0830194506216
large,no_route_arc_tokens,2,-24.0,2807.5220363922003
large,no_route_arc_tokens,3,-24.0,2063.4244580849595
large,no_route_arc_tokens,4,-24.0,2660.6345599654815
large,no_route_arc_tokens,5,-24.0,2119.2885444670305
large,no_route_arc_tokens,6,-24.0,2719.6381870461837
large,no_route_arc_tokens,7,-24.0,2219.327582549562
large,no_route_arc_tokens,8,-24.0,2834.891760805434
large,no_route_arc_tokens,9,-24.0,3022.787667959525
large,no_route_arc_tokens,10,-24.0,2267.120127219017
large,no_route_arc_tokens,11,-24.0,2336.1460143222125
large,no_route_arc_tokens,12,-24.0,2777.374518092628
large,no_route_arc_tokens,13,-24.0,2319.7913940375606
large,no_route_arc_tokens,14,-24.0,3647.2774762112404
large,no_route_arc_tokens,15,-24.0,2158.764780022969
large,no_route_arc_tokens,16,-24.0,2062.9745216017604
large,no_route_arc_tokens,17,-24.0,3440.8104509490313
large,no_route_arc_tokens,18,-24.0,2766.0081482991745
large,no_route_arc_tokens,19,-24.0,2191.3035133613257
