iteration,episode_reward,best_objective
0,-2.0886084949064148,0.5311698317527771
1,-1.828310890729578,0.5070281624794006
2,-2.181725298084833,0.5257514715194702
3,-1.8296144360781927,0.572526752948761
4,-1.5513366144732572,0.339633047580719
5,-1.8553083791812242,0.40858834981918335
6,-1.808517148757043,0.28579264879226685
7,-1.8860581245681278,0.43848735094070435
8,-1.6642955982655014,0.38192465901374817
9,-1.8604002395019659,0.409677654504776
10,-1.72769452688226,0.35153499245643616
11,-1.7013544457173946,0.3788025677204132
12,-1.8231954298481317,0.4352823793888092
13,-1.6746174186482676,0.4786790907382965
14,-1.6932134451559857,0.4357919692993164
15,-1.4298211772111244,0.4033367931842804
16,-1.5597937895354186,0.4982649087905884
17,-1.6303972464617498,0.2726517915725708
18,-1.392242554963256,0.37002891302108765
19,-1.4742796658538282,0.37856313586235046
