iteration,episode_reward,best_objective
0,-0.8840617441856011,0.6844562292098999
1,-0.8063173814630318,0.7971584796905518
2,-0.7945151065365886,0.8587692379951477
3,-0.8842648646556578,0.7197214365005493
4,-0.905053842534168,0.8239220976829529
5,-0.5907753384775182,0.8686131238937378
6,-0.6067390856087513,0.7514451742172241
7,-0.5249122313457519,0.7810955047607422
8,-0.5881475296120584,0.8112509250640869
9,-0.7028568005666784,0.8809133768081665
10,-0.5636088723983145,0.7976080775260925
11,-0.690586475053351,0.73045814037323
12,-0.5549337423817633,0.8626686334609985
13,-0.4020806711264413,0.821996808052063
14,-0.41701416052213364,0.7832786440849304
15,-0.28951387905347775,0.8161680698394775
16,-0.26750445300475195,0.7724772691726685
17,-0.2695502189292256,0.810667872428894
18,-0.3326053103987808,0.7716923952102661
19,-0.20879929719573434,0.8172565698623657
