variant,scale,index,risk_weight,weighted_objective_normalized,cost,risk,seconds
GA,Test-1,0,0.0,0.8227236689253439,1436.519735,10.028631416198285,0.8513398333452642
GA,Test-1,0,0.25,0.7621858349042369,1466.143401666667,8.695385645147278,0.8428575666621327
GA,Test-1,0,0.5,0.6792007929287297,1495.7670683333336,8.236900434795524,0.8506703000360479
GA,Test-1,0,0.75,0.5904732867775049,1495.7670683333336,8.236900434795524,0.8856339333190894
GA,Test-1,0,1.0,0.4858961871217975,1949.087735,7.976705872789542,0.8827969666648036
GA,Test-1,1,0.0,0.824424882591155,1233.99524,10.184575919570355,0.8165806666171799
GA,Test-1,1,0.25,0.7939127827311303,1238.01324,8.343936439335998,0.9094678999778504
GA,Test-1,1,0.5,0.777869494560297,1271.19224,8.489824064012183,0.8838222999668991
GA,Test-1,1,0.75,0.7280941410412233,1529.6652400000003,7.572607779486122,0.9002624333758528
GA,Test-1,1,1.0,0.6374505925333178,1518.7932400000002,7.660476611202772,0.7887307999577994
GA,Test-1,2,0.0,0.8344274084600455,1353.946514,12.95735994198243,0.8824666666720683
GA,Test-1,2,0.25,0.7912795481123974,1379.908514,10.168738416833497,0.9014404666765282
GA,Test-1,2,0.5,0.7321314956194636,1379.908514,10.168738416833497,0.9356329999864101
GA,Test-1,2,0.75,0.680377608194436,1480.624514,9.989308249691538,0.8513727666577324
GA,Test-1,2,1.0,0.5680439625417364,1835.1321806666667,9.41016199536205,0.784152299980633
GA,Test-1,3,0.0,0.8202779700027033,1399.011818,11.791111294903152,0.8294245332945138
GA,Test-1,3,0.25,0.8083691316979954,1413.1308179999999,9.131432823688815,0.784780599991791
GA,Test-1,3,0.5,0.7814273207305765,1514.9678179999999,8.237360027468783,0.8672977000242099
GA,Test-1,3,0.75,0.7258112779575084,1507.8248179999998,8.218642508041892,0.7966774000475804
GA,Test-1,3,1.0,0.6465234838975826,1705.533818,7.894658923891687,0.8145052666853493
GA,Test-1,4,0.0,0.831861475961157,1042.265184,5.466143815229206,0.88741703335351
GA,Test-1,4,0.25,0.850784431398759,1053.363184,4.645415615633259,0.9033817333402112
GA,Test-1,4,0.5,0.8742159741020545,1051.697184,4.79338733724162,0.7924669999629259
GA,Test-1,4,0.75,0.8426489835654748,1054.583184,4.444974363594071,0.7727656333396832
GA,Test-1,4,1.0,0.8442060692423982,1519.7081839999998,4.451504271325638,0.8953828333566586
GA,Test-1,5,0.0,0.8704502248420182,1646.353129,14.79046873321576,0.8429015333531424
GA,Test-1,5,0.25,0.8705115249202168,1653.625129,11.062955639460597,0.8705028667269895
GA,Test-1,5,0.5,0.8445773140376739,1874.7241289999995,8.98727509206386,0.8428839666303247
GA,Test-1,5,0.75,0.7712693670047424,1874.7241289999995,8.98727509206386,0.8100275332884243
GA,Test-1,5,1.0,0.7255352732359966,1913.2271289999996,9.342328820740512,0.7887448000255972
GA,Test-1,6,0.0,0.7015957051856897,1299.084315,12.584987240344068,0.876454500015825
GA,Test-1,6,0.25,0.6967860530411801,1320.2502243333333,9.59553309832503,0.9119380000435436
GA,Test-1,6,0.5,0.6646728166632043,1313.971179,9.175711774754616,0.8173407999953876
GA,Test-1,6,0.75,0.629062863049861,1405.6610520000002,8.672128965096853,0.8430752666899934
GA,Test-1,6,1.0,0.5887453792202579,1537.2774773333333,8.717235499093167,0.8907202666935822
GA,Test-1,7,0.0,0.842318348730733,1308.800929,14.604114347645448,0.9553269332973287
GA,Test-1,7,0.25,0.8153898479903702,1308.800929,13.917914503481493,0.8917779667147746
GA,Test-1,7,0.5,0.7407895415094544,1406.132929,10.924717431722863,0.8115188666852191
GA,Test-1,7,0.75,0.6477651684903469,1502.2362623333331,10.2577617201983,0.8392981333502879
GA,Test-1,7,1.0,0.533769851922131,1595.639929,10.112876688482622,0.9046283999923617
GA,Test-1,8,0.0,0.7804986147769508,1231.7257149999998,10.507521785366446,0.8257191333298882
GA,Test-1,8,0.25,0.7978616379953056,1246.987715,9.489491708301289,0.8608761666497836
GA,Test-1,8,0.5,0.8062387016336566,1272.4057149999999,9.31914835596782,0.77032639994286
GA,Test-1,8,0.75,0.7721487169867185,1696.817715,7.75779351040693,0.8024109000107273
GA,Test-1,8,1.0,0.6711282703554128,1696.817715,7.75779351040693,0.7947620666430643
GA,Test-1,9,0.0,0.6937936809809074,1315.912753,12.574118152366166,0.8396175667100275
GA,Test-1,9,0.25,0.6703854758821229,1323.589753,10.684658981717101,0.8596263333844641
GA,Test-1,9,0.5,0.6058731324678507,1323.5897529999997,9.337976871783326,0.8480523333419114
GA,Test-1,9,0.75,0.5530602649084304,1502.835753,8.600129591066995,0.7991069999989122
GA,Test-1,9,1.0,0.49220341384914296,1433.678753,8.943645235288288,0.8289990666865682
GA,Test-2,0,0.0,0.7370899935999008,2314.744564,39.54875260283012,2.093834333276997
GA,Test-2,0,0.25,0.8002923729759704,2455.244564,37.27004425729291,2.0825154333530613
GA,Test-2,0,0.5,0.8090419540581215,2469.851564,36.2213281081813,2.4095825667027384
GA,Test-2,0,0.75,0.8251006534725734,2561.493564,36.075144066356785,2.2818347666955865
GA,Test-2,0,1.0,0.8266853009785579,2772.9902306666663,36.00714137575882,2.278779699971589
GA,Test-2,1,0.0,0.5652220581316868,2464.427262333333,56.384506047281654,2.2779911666875705
GA,Test-2,1,0.25,0.5600443770011592,2509.9760320000005,49.63397696152,2.2244625666256375
GA,Test-2,1,0.5,0.5412563926734412,2745.704244666667,43.79285727160814,2.1581513000419363
GA,Test-2,1,0.75,0.498923005546162,2960.8334253333337,42.447817535713774,2.0088396333546066
GA,Test-2,1,1.0,0.4554603194158347,3275.382428333333,44.05217499986875,2.0281094333234555
GA,Test-2,2,0.0,0.7707040267215045,2333.3684240000002,60.31580612675398,2.1417393000253164
GA,Test-2,2,0.25,0.7792605985946919,2356.2964240000006,47.28393616366238,2.059620299997429
GA,Test-2,2,0.5,0.7766723261292044,2417.303424,45.63403842985323,2.0504298000208414
GA,Test-2,2,0.75,0.8193965739379921,2584.214424,48.84342340801694,2.1608806333194175
GA,Test-2,2,1.0,0.7465021549181898,2664.731424,45.125358793516256,2.487935766694136
GA,Test-2,3,0.0,0.8390445508944223,2210.988691,50.2144853073706,2.3458836333593354
GA,Test-2,3,0.25,0.8196271800034705,2245.432691,42.56618313287154,2.2237356000114232
GA,Test-2,3,0.5,0.7878522131868451,2353.885691,40.22440926497756,2.173588833383595
GA,Test-2,3,0.75,0.7403625405844415,2457.3936909999998,39.86292151953422,2.094155100019028
GA,Test-2,3,1.0,0.6783934670476327,2408.458691,39.98635992154547,2.063654633355327
GA,Test-2,4,0.0,0.6087261045330717,2272.8142249999996,44.35729299641307,2.042295033344999
GA,Test-2,4,0.25,0.7126442769363516,2477.6162249999998,40.899622256918676,2.2010500999943665
GA,Test-2,4,0.5,0.7577713182915843,2618.922121666666,38.72468786147069,2.16539113332207
GA,Test-2,4,0.75,0.771221599431267,2696.1745416666668,37.46284461510776,2.120157733326778
GA,Test-2,4,1.0,0.7703917826358048,2876.32112,36.644755457344715,2.2827767666506893
GA,Test-2,5,0.0,0.8246503183275427,2199.701695,54.1826934612213,2.2055209333387515
GA,Test-2,5,0.25,0.8238041670075741,2285.2976949999997,45.157536289811254,2.1482268999873972
GA,Test-2,5,0.5,0.7864248059257885,2439.030695,41.01416927905279,2.447094700027568
GA,Test-2,5,0.75,0.7108518788602748,2414.6466950000004,40.24068975586973,2.121938466715316
GA,Test-2,5,1.0,0.6231853226859889,2582.704695,38.815989539316156,2.101209899992682
GA,Test-2,6,0.0,0.7995029658508385,2456.8294936666666,59.693059697805005,2.0426828333487115
GA,Test-2,6,0.25,0.7968802046088066,2460.1524936666665,47.96115187095061,2.1670965666417032
GA,Test-2,6,0.5,0.7906036408667366,2601.954704333333,44.830534746635976,2.030283333384432
GA,Test-2,6,0.75,0.7626275529849909,2656.9537829999995,44.47346517194336,2.0729313666621842
GA,Test-2,6,1.0,0.7387076484742706,2729.3873056666666,45.08872671026672,2.0579766667215154
GA,Test-2,7,0.0,0.5909335844978352,2663.474418,52.501447412952395,2.135372033303914
GA,Test-2,7,0.25,0.6122647463775207,2755.823418,42.46403154945059,2.0201046333725876
GA,Test-2,7,0.5,0.596691530551889,2627.506084666667,42.16278717324665,2.220332133389699
GA,Test-2,7,0.75,0.5926721969018126,2892.450418,39.80665831318911,2.3369522000042102
GA,Test-2,7,1.0,0.5767599552935554,3231.360418,39.83720091948652,2.183304166731735
GA,Test-2,8,0.0,0.7022341453455728,2161.384015,46.22110068733389,2.336287899990566
GA,Test-2,8,0.25,0.6862217990643685,2267.811015,39.081237643337595,2.520523833304954
GA,Test-2,8,0.5,0.6353669978882638,2184.379015,41.024766911090296,2.1757019332920513
GA,Test-2,8,0.75,0.5696388237474022,2327.183681666667,37.10936922836734,2.046418366682095
GA,Test-2,8,1.0,0.514954188204483,2809.358681666667,37.65560106150281,2.193603100022301
GA,Test-2,9,0.0,0.6660979017785422,1914.5516320000004,40.88221845655986,2.188599733325342
GA,Test-2,9,0.25,0.6665625102168518,1901.5056320000003,36.72009141899566,2.0317379999905825
GA,Test-2,9,0.5,0.6798302200328535,2012.441632,35.531185208925564,2.0623232666403055
GA,Test-2,9,0.75,0.663048103433736,2307.634632,33.211302064526734,2.1751566000360376
GA,Test-2,9,1.0,0.6175363781510741,2272.771632,33.27008762560542,2.3139546000553914
GA,Test-3,0,0.0,0.7836203285972486,5249.557980999999,176.36938022093008,2.7812554000411183
GA,Test-3,0,0.25,0.8291808811427638,5694.428981,161.1597155681669,2.6685307666969798
GA,Test-3,0,0.5,0.7962717395402789,5837.964981,151.5842796719401,3.0391262666865564
GA,Test-3,0,0.75,0.7860776116141456,6129.835981,156.21037412074455,2.646484833288317
GA,Test-3,0,1.0,0.6695206324065713,6428.265314333334,140.7436922247475,2.8080481000167006
GA,Test-3,1,0.0,0.6718234802769127,4464.78296,203.27430695059275,2.8157013999686265
GA,Test-3,1,0.25,0.6965820977908669,4803.8499600000005,183.9993305525807,2.859232733336588
GA,Test-3,1,0.5,0.6783932060454406,5160.657626666666,172.8174186160934,2.8537418333580717
GA,Test-3,1,0.75,0.5857549248540345,5302.7379599999995,153.39360628098012,2.7012681999476627
GA,Test-3,1,1.0,0.5304077544362076,5454.709626666667,157.97181891693796,2.8680582667002454
GA,Test-3,2,0.0,0.7780416653596319,5391.356842333334,168.56738756354636,2.884695200055527
GA,Test-3,2,0.25,0.7715454492713242,5649.932031666667,154.51970080437061,2.7743798666633666
GA,Test-3,2,0.5,0.7126019650666402,5982.466320333333,135.62998935524277,2.5857727666928745
GA,Test-3,2,0.75,0.6562595104569419,6161.2318589999995,139.67905787292645,2.7404672666840875
GA,Test-3,2,1.0,0.5460858728963124,6662.992789666666,131.82275907448198,2.695555333319741
GA,Test-3,3,0.0,0.6882151969209521,4910.409105333333,119.37646794223788,2.773049533367157
GA,Test-3,3,0.25,0.7094369257829373,5165.511222666666,120.73941745652174,3.005985066682721
GA,Test-3,3,0.5,0.6780479068161167,5197.533491666668,113.81206953460786,2.58725806667159
GA,Test-3,3,0.75,0.6361346384859642,5637.903613666666,106.04163007903874,2.5393373666641614
GA,Test-3,3,1.0,0.5730441695794416,5673.399977,103.91220881785807,2.6095609666081145
GA,Test-3,4,0.0,0.7290832751364237,4571.2587060000005,179.9956493855725,2.696798299982523
GA,Test-3,4,0.25,0.7171359274828047,4623.762278666666,164.43569349043946,2.8709568666139
GA,Test-3,4,0.5,0.6578001335473065,4677.217082,142.74523025192116,2.68742780003231
GA,Test-3,4,0.75,0.6151377089280604,5511.624099666667,132.1059740179621,2.6286451333047203
GA,Test-3,4,1.0,0.5509594733204485,5602.642268333334,138.06958685169556,2.6195729000416272
GA,Test-3,5,0.0,0.723183067995577,4698.854076666667,176.00429219982846,2.768289599994508
GA,Test-3,5,0.25,0.755548285545229,5045.949076666667,166.0692456455636,2.656109600017468
GA,Test-3,5,0.5,0.6873452865575533,5073.843076666666,142.42245450624907,2.7519875333334007
GA,Test-3,5,0.75,0.65043665563765,5366.8254099999995,141.97277568287993,2.9412221666813516
GA,Test-3,5,1.0,0.5961380167326169,5829.512076666666,142.9845865093039,2.8932108333489546
GA,Test-3,6,0.0,0.6652552477844896,4967.11837,200.8026340832824,2.6956774666517354
GA,Test-3,6,0.25,0.6635126101357481,4987.695542,151.3813616753815,2.5529223666526377
GA,Test-3,6,0.5,0.7054180120684516,5536.625828666667,155.87347956850422,2.7006230999638015
GA,Test-3,6,0.75,0.6634115472044716,5904.640451333333,144.61022959045295,2.8602132000184306
GA,Test-3,6,1.0,0.6411699178270317,6643.025692666666,149.3210066716275,2.7042296333238482
GA,Test-3,7,0.0,0.8103574912711871,5223.198565,203.3841748734137,2.8575963333714753
GA,Test-3,7,0.25,0.772539330136012,5115.880231666666,171.02456886614308,2.648676266660914
GA,Test-3,7,0.5,0.7917757695516455,5952.331898333334,159.2143770515687,2.6482548333782083
