model_id,test_scale,independent_instances,instance_preference_cells,quality_cells,macro_j,conditional_macro_j,macro_j_sd_instance_preference,conditional_macro_j_sd_instance_preference,strict_feasible_rate,terminal_clear_rate,mean_inference_seconds,conditional_mean_inference_seconds,relative_ga_improvement_percent,conditional_relative_ga_improvement_percent,expected_paired_ga_n,paired_ga_n,two_model_relative_gap_percent
Train-L,Test-1,50,250,250,0.6373921533459247,0.6373921533459247,0.23947564227160073,0.23947564227160073,1.0,1.0,22.018844534802717,22.018844534802717,19.84658926019101,19.84658926019101,250,250,1.392088420338527
Train-L,Test-2,50,250,250,0.55488553590925,0.55488553590925,0.20219896162768095,0.20219896162768095,1.0,1.0,21.979474393333305,21.979474393333305,23.510451854213084,23.510451854213084,250,250,1.01442430673349
Train-L,Test-3,50,250,250,0.49013661541821457,0.49013661541821457,0.1391530359986272,0.1391530359986272,1.0,1.0,22.229737184665783,22.229737184665783,27.416571980329604,27.416571980329604,250,250,0.8060343528581821
Train-L,Test-4,50,250,250,0.5594434526036657,0.5594434526036657,0.11053461809935686,0.11053461809935686,1.0,1.0,36.90647304147,36.90647304147,26.5892616130816,26.5892616130816,250,250,1.2956840956894864
Train-S,Test-1,50,250,250,0.6286409159494819,0.6286409159494819,0.24188198866938646,0.24188198866938646,1.0,1.0,20.450644327199083,20.450644327199083,20.99211694471248,20.99211694471248,250,250,0.0
Train-S,Test-2,50,250,250,0.5493131695967722,0.5493131695967722,0.2016040189657267,0.2016040189657267,1.0,1.0,21.997909597066077,21.997909597066077,24.28607378318225,24.28607378318225,250,250,0.0
Train-S,Test-3,50,250,250,0.4862175350560426,0.4862175350560426,0.13942620854211482,0.13942620854211482,1.0,1.0,22.071163168799906,22.071163168799906,28.004482239689146,28.004482239689146,250,250,0.0
Train-S,Test-4,50,250,250,0.5522875506474536,0.5522875506474536,0.11640507346916858,0.11640507346916858,1.0,1.0,30.485900424533988,30.485900424533988,27.581294212901863,27.581294212901863,250,250,0.0
