model_id,macro_j_Test-1,macro_j_Test-2,macro_j_Test-3,macro_j_Test-4,two_model_relative_gap_percent_Test-1,two_model_relative_gap_percent_Test-2,two_model_relative_gap_percent_Test-3,two_model_relative_gap_percent_Test-4
Train-L,0.6373921533459247,0.55488553590925,0.49013661541821457,0.5594434526036657,1.392088420338527,1.01442430673349,0.8060343528581821,1.2956840956894864
Train-S,0.6286409159494819,0.5493131695967722,0.4862175350560426,0.5522875506474536,0.0,0.0,0.0,0.0
