scale,instance,iteration,episode_reward,best_objective
small,0,0,-12.779853229428722,14.310553110972155
small,0,1,-12.789819436832444,66.0348234321227
small,0,2,-12.931109489576919,48.03799416949536
small,0,3,-11.219754272260362,20.700920367468214
small,0,4,-11.215578791624493,6.146800971772931
small,0,5,-10.723815875327606,98.75870348318482
small,0,6,-12.864746343385194,72.27548184263593
small,0,7,-10.13128619867293,81.50279499619168
small,0,8,-11.320042212061704,16.17923690339899
small,0,9,-11.1774278036814,10.79363942574326
small,0,10,-10.549268482579006,38.33594515090386
small,0,11,-9.703856685993294,37.409758481875286
small,0,12,-9.512770006900897,7.717812510998598
small,0,13,-9.599525872023403,6.287017851297154
small,0,14,-9.620124130123903,13.928448057687724
small,0,15,-8.998679241552036,90.14424769741083
small,0,16,-9.145686907309068,13.605973861866559
small,0,17,-8.640421873190043,31.20789157320517
small,0,18,-8.366857228215759,40.060679731997524
small,0,19,-7.589035038034192,19.523374689118697
large,0,0,-8.224825647043115,2742.550120864674
large,0,1,-5.297350920696561,1925.8590885330661
large,0,2,-4.279528841505419,1828.0740089849423
large,0,3,-3.2195106907794564,2819.715437986658
large,0,4,-2.9477472822778026,1808.0967052167016
large,0,5,-2.710792407974012,4009.512543670194
large,0,6,-2.2414504824262256,2727.2324886827664
large,0,7,-1.9643046299004494,3407.054760073484
large,0,8,-1.3646586371947955,2740.1106706712912
large,0,9,-1.0071989172624762,1713.5286240412718
large,0,10,-1.1154019850261008,3697.657615231581
large,0,11,-1.1676770939448236,1857.9686657919108
large,0,12,-1.4930363546749357,2241.6255028451146
large,0,13,-1.554707125259234,1949.248924462917
large,0,14,-1.3906489259332686,2225.6900822516686
large,0,15,-1.346011305896733,4062.753309842732
large,0,16,-1.0599365168648194,3300.5778457556044
large,0,17,-1.4386971825699677,2468.7962298780158
large,0,18,-0.8887128675241345,2058.2360020598444
large,0,19,-0.705378138003211,3120.1534075127893
