scale,instance,iteration,episode_reward,best_objective
small,0,0,-15.593780359459915,14.120852658742374
small,0,1,-15.256496851408484,66.0348234321227
small,0,2,-14.199478775907235,48.056519202970215
small,0,3,-12.429706925542384,20.972701555545473
small,0,4,-13.251953816479272,6.481075113835096
small,0,5,-12.442107741068993,99.24675721057854
small,0,6,-12.155038090455097,78.78124122081307
small,0,7,-12.501822677692841,80.8213880024717
small,0,8,-11.705860418957096,15.849812555566352
small,0,9,-11.9299112038129,12.420038807350156
small,0,10,-9.982375927285801,38.88657036427212
small,0,11,-11.531907256645606,36.85866222889921
small,0,12,-10.405046752281127,8.810521156432335
small,0,13,-11.07827996793046,5.93728742476839
small,0,14,-11.392608850589475,13.194913461753485
small,0,15,-10.516349923241705,90.86889460910925
small,0,16,-11.631130646804369,13.462418930456318
small,0,17,-9.014954536028206,31.20789157320517
small,0,18,-10.935154669524403,41.43266876795189
small,0,19,-8.467790845864473,19.10690080098913
large,0,0,-7.965837905001147,2572.169320457826
large,0,1,-5.688316310473457,1944.6085238071607
large,0,2,-5.535301917412444,1825.2377661284263
large,0,3,-4.5476282419714895,2380.6632508335424
large,0,4,-3.8468698509019377,1933.13218942732
large,0,5,-3.034036953934213,4041.573834643031
large,0,6,-2.7448132131898033,2858.055169031635
large,0,7,-2.271707796732966,3662.8987967134863
large,0,8,-1.877149769731017,2711.7845403962992
large,0,9,-1.7935477461431926,1640.605752575841
large,0,10,-1.5560810426727014,3900.7185182104936
large,0,11,-1.2434128211999724,1778.4546364828757
large,0,12,-1.582391594111034,2337.232972642424
large,0,13,-1.4689005546491436,1855.0957516386957
large,0,14,-1.3196234310890849,2418.8143497747865
large,0,15,-0.9930159450564829,3945.229545440512
large,0,16,-0.8762962565679737,3237.7404769101854
large,0,17,-1.0780629769848695,2336.2920402664513
large,0,18,-1.0970421806214317,2115.1067689590154
large,0,19,-0.8769055212954587,2834.2228529013846
