archive_id,instance,model,algorithm,repeat,budget,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,objective_evaluations_total_excluding_preparation
NSGA-Test-4-r2-B120960,Test-4,,NSGA,2,120960,3436.10218539997,134,success,134,134,0.014663100009784102,120960,75035,45925,10908,11199,11199,0,0,75035
PPO-Test-4-small-r2-B40320,Test-4,small,PPO,2,40320,1731.6732458999613,38,success,38,38,0.02110110002104193,40320,25987,14333,0,9890,0,31711,21,57719
PPO-Test-4-large-r2-B40320,Test-4,large,PPO,2,40320,1791.0670596000273,52,success,52,52,0.013105600024573505,40320,27174,13146,0,8626,0,32975,21,60170
PPO-capacity-70-large-r0-B40320,capacity-70,large,PPO,0,40320,1723.7514280000469,28,success,28,28,0.025635300087742507,40320,24393,15927,0,11484,0,30117,21,54531
PPO-capacity-70-large-r1-B40320,capacity-70,large,PPO,1,40320,1727.6894812000683,28,success,28,28,0.02123119996394962,40320,24629,15691,0,11109,0,30492,21,55142
PPO-capacity-70-large-r2-B40320,capacity-70,large,PPO,2,40320,1718.8950589000015,24,success,24,24,0.02410399995278567,40320,24612,15708,0,11366,0,30235,21,54868
PPO-capacity-80-large-r0-B40320,capacity-80,large,PPO,0,40320,1726.9884934999282,27,success,27,27,0.023470600019209087,40320,24997,15323,0,10895,0,30706,21,55724
PPO-capacity-80-large-r1-B40320,capacity-80,large,PPO,1,40320,1730.2212904999033,26,success,26,26,0.011819600011222064,40320,24807,15513,0,10950,0,30651,21,55479
PPO-capacity-80-large-r2-B40320,capacity-80,large,PPO,2,40320,1740.6545286000473,36,success,36,36,0.021986700012348592,40320,24857,15463,0,10907,0,30694,21,55572
PPO-capacity-120-large-r0-B40320,capacity-120,large,PPO,0,40320,1898.7058117999695,43,success,43,43,0.021886499947868288,40320,30246,10074,0,5594,0,36007,21,66274
PPO-capacity-120-large-r1-B40320,capacity-120,large,PPO,1,40320,1842.0116146999644,34,success,34,34,0.014221800025552511,40320,30133,10187,0,5661,0,35940,21,66094
PPO-capacity-120-large-r2-B40320,capacity-120,large,PPO,2,40320,1861.1338376000058,48,success,48,48,0.024909100029617548,40320,30325,9995,0,5632,0,35969,21,66315
PPO-capacity-130-large-r0-B40320,capacity-130,large,PPO,0,40320,1883.1955653000623,62,success,62,62,0.025519800023175776,40320,31172,9148,0,4703,0,36898,21,68091
PPO-capacity-130-large-r1-B40320,capacity-130,large,PPO,1,40320,1871.868762099999,57,success,57,57,0.021446799975819886,40320,30890,9430,0,4947,0,36654,21,67565
PPO-capacity-130-large-r2-B40320,capacity-130,large,PPO,2,40320,1868.4111369000748,50,success,50,50,0.022096999920904636,40320,30975,9345,0,5011,0,36590,21,67586
PPO-coload-70-large-r0-B40320,coload-70,large,PPO,0,40320,1797.4385201999685,51,success,51,51,0.012457899982109666,40320,27735,12585,0,8013,0,33588,21,61344
PPO-coload-70-large-r1-B40320,coload-70,large,PPO,1,40320,1792.8210548999486,35,success,35,35,0.02423780004028231,40320,27516,12804,0,8139,0,33462,21,60999
PPO-coload-70-large-r2-B40320,coload-70,large,PPO,2,40320,1767.5413687999826,37,success,37,37,0.012381099979393184,40320,27441,12879,0,8373,0,33228,21,60690
PPO-coload-80-large-r0-B40320,coload-80,large,PPO,0,40320,1789.7258644999238,49,success,49,49,0.012667500064708292,40320,27756,12564,0,8002,0,33599,21,61376
PPO-coload-80-large-r1-B40320,coload-80,large,PPO,1,40320,1774.1196621999843,37,success,37,37,0.021781699964776635,40320,27397,12923,0,8255,0,33346,21,60764
PPO-coload-80-large-r2-B40320,coload-80,large,PPO,2,40320,1764.6824977999786,44,success,44,44,0.01257719995919615,40320,27403,12917,0,8391,0,33210,21,60634
PPO-coload-120-large-r0-B40320,coload-120,large,PPO,0,40320,1774.205794300069,47,success,47,47,0.01309310004580766,40320,27631,12689,0,8140,0,33461,21,61113
PPO-coload-120-large-r1-B40320,coload-120,large,PPO,1,40320,1717.9011785999173,25,success,25,25,0.012963299988768995,40320,27358,12962,0,8307,0,33294,21,60673
PPO-coload-120-large-r2-B40320,coload-120,large,PPO,2,40320,1233.4028127000201,56,success,56,56,0.0213705999776721,40320,27271,13049,0,8525,0,33076,21,60368
PPO-coload-130-large-r0-B40320,coload-130,large,PPO,0,40320,1187.124744300032,50,success,50,50,0.024752199999056756,40320,27606,12714,0,8148,0,33453,21,61080
PPO-coload-130-large-r1-B40320,coload-130,large,PPO,1,40320,1154.2393295000074,29,success,29,29,0.022920000017620623,40320,27344,12976,0,8312,0,33289,21,60654
PPO-coload-130-large-r2-B40320,coload-130,large,PPO,2,40320,1086.1913905000547,52,success,52,52,0.02073039999231696,40320,27220,13100,0,8607,0,32994,21,60235
