scale,instance,iteration,episode_reward,best_objective
small,0,0,-18.90720558166504,919.2562627873037
small,0,1,-8.860360145568848,267.5156969457245
small,0,2,-9.85324764251709,507.02538360320705
small,0,3,-13.888225555419922,935.4048194737616
small,0,4,-13.004491806030273,1028.7307716979954
small,0,5,-13.798099517822266,55.581793343252556
small,0,6,-18.845643997192383,807.6949951488544
small,0,7,-14.836507797241211,98.06034375617392
small,0,8,-15.883796691894531,600.3330542460257
small,0,9,-7.956293106079102,1025.9885430566683
small,0,10,-24.0,1244.4166149347952
small,0,11,-9.941545486450195,549.378730825972
small,0,12,-11.792441368103027,98.41124474550418
small,0,13,-6.872640609741211,150.0740324831553
small,0,14,-24.0,687.2966165615371
small,0,15,-15.755956649780273,243.1477453278514
small,0,16,-11.861479759216309,672.4545204243196
small,0,17,-13.879384994506836,96.14816914178007
small,0,18,-11.857488632202148,883.3328867006857
small,0,19,-10.923532485961914,180.59911248567454
small,0,20,-8.755474090576172,141.63555307859397
small,0,21,-7.837301254272461,1195.6731972372643
small,0,22,-9.84183120727539,1168.5262355092352
small,0,23,-14.926088333129883,975.0115332432148
small,0,24,-8.944965362548828,1142.8507382561918
small,0,25,-21.913753509521484,1183.4018612483837
small,0,26,-10.978153228759766,1252.8230619983376
small,0,27,-10.624568939208984,7.568256084919773
small,0,28,-12.897729873657227,462.4358243575865
small,0,29,-9.73253059387207,5.891846577488589
small,0,30,-9.853955268859863,880.0094554562513
small,0,31,-8.898734092712402,830.9839632259773
small,0,32,-9.874441146850586,669.318185663851
small,0,33,-7.8775200843811035,1094.0330176260086
small,0,34,-11.830133438110352,382.33091570355026
small,0,35,-14.867982864379883,556.3867800802917
small,0,36,-8.916753768920898,996.8332486950362
small,0,37,-7.851738929748535,710.5037023007876
small,0,38,-7.839675426483154,372.89314203266116
small,0,39,-14.988874435424805,1204.859629792922
small,0,40,-5.960060119628906,1269.7677452977498
small,0,41,-7.985795021057129,1044.6165614406943
small,0,42,-15.022676467895508,1358.9791769462504
small,0,43,-7.816313743591309,1099.5530021206662
small,0,44,-9.878835678100586,1159.2046669441024
small,0,45,-5.792358875274658,128.49675376115758
small,0,46,-12.033037185668945,1100.7596910149887
small,0,47,-10.859535217285156,478.70448938723615
small,0,48,-14.85030746459961,614.6498094430615
small,0,49,-24.0,186.65702513157493
small,0,50,-10.836996078491211,1262.1655503180932
small,0,51,-13.004693984985352,1014.8106537297439
small,0,52,-7.84273099899292,103.69893977267861
small,0,53,-5.704558849334717,58.2560097923885
small,0,54,-9.926705360412598,720.4852848523499
small,0,55,-10.870528221130371,388.10969475914607
small,0,56,-14.7883882522583,253.2144771633865
small,0,57,-10.828758239746094,1013.3489540014251
small,0,58,-9.960075378417969,1107.1335191663518
small,0,59,-5.859902858734131,391.57966703208194
small,0,60,-13.8713960647583,254.64007118806666
small,0,61,-21.83704948425293,186.9112257372798
small,0,62,-17.913175582885742,949.6909587430393
small,0,63,-6.914795398712158,397.7786239543884
small,0,64,-8.842306137084961,197.92157399246952
small,0,65,-11.867645263671875,387.7136169645584
small,0,66,-6.849964141845703,1137.2508035217613
small,0,67,-11.946105003356934,711.9585822582504
small,0,68,-11.040218353271484,1294.078085548226
small,0,69,-22.912919998168945,767.9377037379043
small,0,70,-9.947881698608398,1296.0377328314587
small,0,71,-12.017135620117188,986.6906037613386
small,0,72,-17.809467315673828,58.55730972953723
small,0,73,-7.884385585784912,157.19454492730495
small,0,74,-18.878225326538086,610.7607453166062
small,0,75,-19.915287017822266,801.1833771476597
small,0,76,-14.86099624633789,179.739203439297
small,0,77,-17.940153121948242,692.439866008998
small,0,78,-9.968997955322266,679.637224925809
small,0,79,-6.881442546844482,931.7202769945776
small,0,80,-11.951028823852539,921.3537782164119
small,0,81,-6.948544979095459,894.0429991771832
small,0,82,-16.83517074584961,163.30948352985027
small,0,83,-12.955181121826172,991.7410495385132
small,0,84,-8.88572883605957,289.4734309995775
small,0,85,-5.912188529968262,883.5254195607615
small,0,86,-24.0,90.11191767608625
small,0,87,-12.856352806091309,887.203383378137
small,0,88,-24.0,1472.1359576914485
small,0,89,-11.907054901123047,309.8566095797211
small,0,90,-19.921844482421875,870.354339616508
small,0,91,-24.0,1479.3740399061294
small,0,92,-8.036144256591797,942.652056666496
small,0,93,-6.997562885284424,1324.2363159909203
small,0,94,-9.929574966430664,516.2156886248047
small,0,95,-10.949881553649902,512.5355226795028
small,0,96,-15.914596557617188,1027.195379767195
small,0,97,-10.917526245117188,225.66608291532978
small,0,98,-18.012298583984375,1057.6368149869868
small,0,99,-15.903263092041016,1045.7026320121158
large,0,0,-3.9889779090881348,11897.49210914342
large,0,1,-5.996990203857422,19235.940630981542
large,0,2,-6.016557693481445,12288.609166492623
large,0,3,-4.077422142028809,15850.94513707245
large,0,4,-5.022351264953613,19845.897428475288
large,0,5,-6.87611722946167,3304.0625661646627
large,0,6,-5.0236053466796875,19489.35349181357
large,0,7,-4.109004974365234,30166.93171428569
large,0,8,-6.976301193237305,26609.381119933878
large,0,9,-0.8033356070518494,3773.640321322156
large,0,10,-4.913752555847168,4134.820209981524
large,0,11,-2.9301371574401855,6024.498103617205
large,0,12,-0.8936008810997009,19557.417523392167
large,0,13,-5.8973708152771,16739.9695279101
large,0,14,-2.975809335708618,26136.000969552362
large,0,15,-0.8650117516517639,13448.59472973043
large,0,16,-0.8929842114448547,13506.836154344672
large,0,17,-0.892032265663147,11742.224410395089
large,0,18,-3.8934764862060547,7648.431669876558
large,0,19,-0.8627634644508362,14758.85111740594
large,0,20,0.023809900507330894,22303.78088222948
large,0,21,-0.9132711291313171,25715.497070825208
large,0,22,-1.765607237815857,10031.2345783907
large,0,23,0.36936625838279724,9128.236508400045
large,0,24,-0.901926577091217,19954.512653850452
large,0,25,-0.9179846048355103,28530.73911189193
large,0,26,0.16323496401309967,9090.944514806824
large,0,27,-0.8939486742019653,25809.0951505057
large,0,28,0.29905006289482117,2241.0059048414887
large,0,29,0.10954935848712921,11111.159078191662
large,0,30,-0.9561691284179688,26540.603378907865
large,0,31,-0.9205117225646973,15817.627346736492
large,0,32,0.022741351276636124,25234.63092663594
large,0,33,-0.8301917910575867,15592.744647790887
large,0,34,-1.791153907775879,10655.768778713493
large,0,35,-0.5599537491798401,3720.7360016916377
large,0,36,0.11734911054372787,2494.382484556775
large,0,37,0.013060232624411583,26458.747988269075
large,0,38,0.28608569502830505,2573.7503411117605
large,0,39,-0.9432192444801331,25582.425267079907
large,0,40,0.016489213332533836,26177.008953862634
large,0,41,-0.6521088480949402,2137.9267335028635
large,0,42,0.08432921022176743,17213.373122387467
large,0,43,-0.9149468541145325,18048.3429587409
large,0,44,-0.9236228466033936,21424.462566930753
large,0,45,0.15104849636554718,13485.82104756431
large,0,46,0.1932760775089264,12075.622784679135
large,0,47,0.2068691998720169,4250.164503357445
large,0,48,0.0019862335175275803,23816.73472489673
large,0,49,0.13228991627693176,3105.977475949954
large,0,50,0.21547287702560425,3372.8444442830214
large,0,51,0.10496027022600174,25854.774597890897
large,0,52,0.2290370911359787,11274.859708730733
large,0,53,0.21090498566627502,11925.867651543438
large,0,54,0.31069982051849365,5894.59997886213
large,0,55,0.34615299105644226,4424.446002206583
large,0,56,0.21394670009613037,3262.582274348398
large,0,57,0.4043765664100647,5396.001518249049
large,0,58,0.1491420567035675,15763.080706293358
large,0,59,0.1149476170539856,21964.99778808566
large,0,60,0.26359274983406067,3660.412652346284
large,0,61,0.2861912250518799,8046.359561515197
large,0,62,0.38727009296417236,2121.3962266743993
large,0,63,0.18723925948143005,7590.540960558395
large,0,64,0.026718609035015106,27321.249678203203
large,0,65,-0.9981353282928467,24484.402318406108
large,0,66,0.3983686566352844,7655.594624036905
large,0,67,-0.9232029914855957,17162.16264141939
large,0,68,0.3271735608577728,5665.775921522961
large,0,69,0.18946987390518188,1831.306358198271
large,0,70,0.15528610348701477,8172.7321728737
large,0,71,0.40113770961761475,3387.903457804031
large,0,72,0.0639193132519722,21816.41719413706
large,0,73,-0.04901547729969025,26600.114596729225
large,0,74,0.04764256253838539,24022.267843285208
large,0,75,0.08179653435945511,17527.313941415377
large,0,76,-0.8044260740280151,4945.724329805618
large,0,77,0.09482132643461227,21100.59038245748
large,0,78,0.22714433073997498,7335.957920087731
large,0,79,0.0816342681646347,13809.299007373089
large,0,80,0.18641962110996246,6583.784622645923
large,0,81,0.15684197843074799,10793.587516671054
large,0,82,0.18764373660087585,3632.3979874988167
large,0,83,0.10675758123397827,15442.359456419474
large,0,84,0.2633901834487915,10757.353953965718
large,0,85,0.25367271900177,2336.47723083868
large,0,86,-0.007402532268315554,25575.69488897536
large,0,87,-0.8204960823059082,17466.295915173494
large,0,88,0.1656849980354309,5941.581517234295
large,0,89,0.0421212837100029,15757.640714799856
large,0,90,0.21952363848686218,7889.035657036802
large,0,91,0.043474309146404266,28901.687770228025
large,0,92,-0.023597752675414085,24464.536672164006
large,0,93,-0.9180670380592346,24489.679492633302
large,0,94,0.2451128363609314,5173.86471333974
large,0,95,0.18860089778900146,20760.577537599525
large,0,96,0.14645719528198242,10604.099358044996
large,0,97,0.0752924233675003,22714.27255419907
large,0,98,0.1820671260356903,5800.135904691407
large,0,99,0.15818287432193756,12733.02202061921
