archive_id,instance,model,algorithm,repeat,budget,run_origin,execution_workers,execution_workers_scope,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,preference_initialization_evaluations,objective_evaluations_total_excluding_preparation
NSGA-Test-4-r0-B40320,Test-4,,NSGA,0,40320,v4_reused,16,historical_batch,1212.4954690999584,70,success,70,70,0.021096199983730912,40320,25628,14692,3075,3213,3213,0,0,0,25628
NSGA-Test-4-r0-B120960,Test-4,,NSGA,0,120960,v4_reused,16,historical_batch,3399.6796694999794,130,success,130,130,0.021096199983730912,120960,75472,45488,10215,10559,10559,0,0,0,75472
PPO-Test-4-small-r0-B252000,Test-4,small,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4568.3412644000055,50,success,50,50,0.01840519999677781,252000,194653,847,45111,56500,45344,0,21,21,194695
PPO-Test-4-large-r0-B252000,Test-4,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4993.827584700004,126,success,126,126,0.014522600002237596,252000,232926,800,38783,18274,38796,0,21,21,232968
NSGA-Test-4-r1-B40320,Test-4,,NSGA,1,40320,v4_reused,16,historical_batch,1225.9640961000696,19,success,19,19,0.022881500073708594,40320,25909,14411,3513,3629,3629,0,0,0,25909
NSGA-Test-4-r1-B120960,Test-4,,NSGA,1,120960,v4_reused,16,historical_batch,3227.491094200057,120,success,120,120,0.022881500073708594,120960,59884,61076,13869,16809,16809,0,0,0,59884
PPO-Test-4-small-r1-B252000,Test-4,small,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4612.253143500013,94,success,94,94,0.020753599994350225,252000,195457,833,45302,55710,45518,0,21,21,195499
PPO-Test-4-large-r1-B252000,Test-4,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4955.563984600012,99,success,99,99,0.013944999998784624,252000,232656,820,37717,18524,37730,0,21,21,232698
NSGA-Test-4-r2-B40320,Test-4,,NSGA,2,40320,v4_reused,16,historical_batch,1228.7877283999696,63,success,63,63,0.014663100009784102,40320,26864,13456,3593,3699,3699,0,0,0,26864
NSGA-Test-4-r2-B120960,Test-4,,NSGA,2,120960,v4_reused,16,historical_batch,3436.10218539997,134,success,134,134,0.014663100009784102,120960,75035,45925,10908,11199,11199,0,0,0,75035
PPO-Test-4-small-r2-B252000,Test-4,small,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4537.259892899994,87,success,87,87,0.013466800010064617,252000,192170,905,44902,58925,45136,0,21,21,192212
PPO-Test-4-large-r2-B252000,Test-4,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4949.1995032999985,109,success,109,109,0.017902499996125698,252000,232915,743,37777,18342,37784,0,21,21,232957
PPO-capacity-70-large-r0-B252000,capacity-70,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,5220.335914100011,120,success,120,120,0.018442100001266226,252000,232612,702,60963,18686,60982,0,21,21,232654
PPO-capacity-70-large-r1-B252000,capacity-70,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,5228.621018000005,148,success,148,148,0.01574360000086017,252000,232863,670,61881,18467,61888,0,21,21,232905
PPO-capacity-70-large-r2-B252000,capacity-70,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,5207.448134399994,114,success,114,114,0.013032500006374903,252000,232778,688,61266,18534,61276,0,21,21,232820
PPO-capacity-80-large-r0-B252000,capacity-80,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,5231.388678700008,142,success,142,142,0.017466300007072277,252000,233212,646,51287,18142,51301,0,21,21,233254
PPO-capacity-80-large-r1-B252000,capacity-80,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,5259.711127200004,110,success,110,110,0.013755399995716289,252000,232383,662,51389,18955,51396,0,21,21,232425
PPO-capacity-80-large-r2-B252000,capacity-80,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,5269.3034050999995,107,success,107,107,0.022538000004715286,252000,233468,642,51296,17890,51304,0,21,21,233510
PPO-capacity-120-large-r0-B252000,capacity-120,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4942.139410299991,140,success,140,140,0.022246000007726252,252000,232427,846,33326,18727,33338,0,21,21,232469
PPO-capacity-120-large-r1-B252000,capacity-120,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4915.729584699991,83,success,83,83,0.012122700005420484,252000,232855,812,32636,18333,32645,0,21,21,232897
PPO-capacity-120-large-r2-B252000,capacity-120,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4955.630365299992,97,success,97,97,0.016795900010038167,252000,232599,863,33011,18538,33022,0,21,21,232641
PPO-capacity-130-large-r0-B252000,capacity-130,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4909.965569099993,125,success,125,125,0.022303699995973147,252000,232186,970,32158,18844,32179,0,21,21,232228
PPO-capacity-130-large-r1-B252000,capacity-130,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4773.312205599999,112,success,112,112,0.012384500005282462,252000,232625,871,30824,18504,30843,0,21,21,232667
PPO-capacity-130-large-r2-B252000,capacity-130,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4769.784515899999,127,success,127,127,0.0223483000008855,252000,232918,875,29454,18207,29468,0,21,21,232960
