archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-large-r0-B252000,Test-1,large,0,12,"(0.6, 0.4)",12000,1116,10884,positive_probability_action_space_exhausted,140,1.7061952000076417,1,1
PPO-Test-1-large-r0-B252000,Test-1,large,0,13,"(0.65, 0.35)",12000,1116,10884,positive_probability_action_space_exhausted,140,1.8502842000016244,1,1
PPO-Test-1-large-r0-B252000,Test-1,large,0,14,"(0.7, 0.30000000000000004)",12000,1116,10884,positive_probability_action_space_exhausted,140,1.8007075000059558,1,1
PPO-Test-1-large-r0-B252000,Test-1,large,0,15,"(0.75, 0.25)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.8432101999933366,1,1
PPO-Test-1-large-r0-B252000,Test-1,large,0,16,"(0.8, 0.19999999999999996)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.8178382999903988,1,1
PPO-Test-1-large-r0-B252000,Test-1,large,0,17,"(0.85, 0.15000000000000002)",12000,1175,10825,positive_probability_action_space_exhausted,147,1.9837904999876628,1,1
PPO-Test-1-large-r0-B252000,Test-1,large,0,18,"(0.9, 0.09999999999999998)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.8257360999996308,1,1
PPO-Test-1-large-r0-B252000,Test-1,large,0,19,"(0.95, 0.050000000000000044)",12000,1185,10815,positive_probability_action_space_exhausted,149,1.783123599991086,1,1
PPO-Test-1-large-r0-B252000,Test-1,large,0,20,"(1.0, 0.0)",12000,1145,10855,positive_probability_action_space_exhausted,144,1.8167204999917885,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,0,"(0.0, 1.0)",12000,1581,10419,positive_probability_action_space_exhausted,198,2.5773015999875497,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,1,"(0.05, 0.95)",12000,1184,10816,positive_probability_action_space_exhausted,149,1.885336899998947,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,2,"(0.1, 0.9)",12000,1377,10623,positive_probability_action_space_exhausted,173,2.216393299997435,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,3,"(0.15, 0.85)",12000,1505,10495,positive_probability_action_space_exhausted,189,2.3961124000052223,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,4,"(0.2, 0.8)",12000,1416,10584,positive_probability_action_space_exhausted,178,2.29666960000759,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,5,"(0.25, 0.75)",12000,1664,10336,positive_probability_action_space_exhausted,209,2.7572412000008626,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,6,"(0.3, 0.7)",12000,1831,10169,positive_probability_action_space_exhausted,229,3.064164100011112,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,7,"(0.35, 0.65)",12000,1788,10212,positive_probability_action_space_exhausted,224,3.1338318000052823,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,8,"(0.4, 0.6)",12000,1172,10828,positive_probability_action_space_exhausted,147,1.7529629999917233,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,9,"(0.45, 0.55)",12000,1303,10697,positive_probability_action_space_exhausted,163,2.0843230999889784,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,10,"(0.5, 0.5)",12000,1139,10861,positive_probability_action_space_exhausted,143,1.8053470000013476,1,1
