scenario,b_C,b_R,points,maximum_processing_utilization_in_union,time_mean,minimum_cost,risk_at_minimum_cost,minimum_risk,cost_at_minimum_risk,minimum_cost_solution,minimum_risk_solution,vehicle_period_routes_at_minimum_risk,service_visits_at_minimum_risk,visits_by_period_at_minimum_risk,example_route_vehicle,example_route_period,example_route,example_route_mixed,example_return_loads,transport_risk_at_minimum_risk,coload_risk_at_minimum_risk,producer_inventory_risk_at_minimum_risk,facility_inventory_risk_at_minimum_risk
baseline,51700.426665000006,15393.350068342135,114,1.0,4966.197024200005,13973.628992999998,2876.462483086206,350.12233935812645,37924.098333000016,9333d7a057bdb35891533680659bbe6558f30017166a29071be5ada7f74b34a0,feb63b90a5705942af499e0c3a22bb3251bb16177f90fc8651b3d24e911293bf,32,235,"{""1"": 48, ""2"": 47, ""3"": 60, ""4"": 80}",K5,1,"[""D2"", ""n::G9::S4"", ""n::G8::S4"", ""n::G5::S4"", ""n::G17::S3"", ""n::G3::S4"", ""D2""]",True,"{""S3"": 1.225, ""S4"": 5.395}",123.648803194327,171.08868016379944,53.90565100000002,1.4792049999999997
capacity-70,54207.20426199997,10099.99439118735,198,1.0,5218.801688833337,18108.27838300001,2605.1004367095775,466.2278323464033,39065.41907299998,f4a0296635262369db27782a8c39998c2986c169ff1d9d3ff943a6b9ff25c445,dafab6e3f03bf605878bbcb88c112c731e0e81742a373a49babe64a00fe37a2a,32,242,"{""1"": 54, ""2"": 50, ""3"": 58, ""4"": 80}",K3,1,"[""D2"", ""n::G13::S2"", ""n::G8::S2"", ""n::G3::S2"", ""n::G13::S1"", ""D2""]",True,"{""S1"": 1.838, ""S2"": 4.809}",124.7572132273875,291.9047177190158,48.331284000000004,1.2346174000000063
capacity-80,53720.242923999984,12160.408486884107,215,1.0,5253.467737000004,16962.26452300001,3447.377861371016,434.1802925706285,35708.084675999984,11d0bf42b03a4c7a3bc02555eedfa5dde8c847602eb01a30ee08714dca43fb3c,25998562851c8a9afd92c49a137788bf4e321ec90cbf09ddb07a9daf7d6a4846,32,233,"{""1"": 45, ""2"": 51, ""3"": 57, ""4"": 80}",K2,1,"[""D2"", ""n::G17::S1"", ""n::G12::S1"", ""n::G20::S2"", ""D2""]",True,"{""S1"": 3.013, ""S2"": 0.55}",127.99577392177527,239.20641424885326,59.95724699999999,7.0208574
capacity-120,51700.426665000006,15393.350068342135,154,1.0,4937.833120099992,12631.456434,2310.240043196356,305.5399571780468,34458.179356999986,b6559cb0a83faa0aae43284e32e5809ee4a0e1f75aa0a2db361ffa92dae8fd57,5a79ee7d17ca58e58df3801632418072de62cbd7d0a89ff2cf7749565730cdb6,32,234,"{""1"": 52, ""2"": 49, ""3"": 53, ""4"": 80}",K1,1,"[""D2"", ""n::G9::S3"", ""n::G16::S3"", ""n::G6::S3"", ""n::G2::S3"", ""n::G8::S1"", ""n::G19::S3"", ""D2""]",True,"{""S1"": 1.891, ""S3"": 5.619}",114.16102742000339,136.1986157580434,55.180313999999996,0.0
capacity-130,51700.426665000006,15393.350068342135,139,1.0,4817.687430199997,12672.492579999998,3091.617007290274,285.1504166434005,35743.90337099998,5d27075446af89649669f8591a9fcd76128b3da7313e23cd25a94f3fe64232d2,ce8bb39dfb4de7b44e3faed9e8e7fade8cf4acc26abed24e4e5b217f1d46111d,32,228,"{""1"": 50, ""2"": 45, ""3"": 53, ""4"": 80}",K3,1,"[""D1"", ""n::G16::S4"", ""n::G5::S4"", ""n::G4::S4"", ""n::G13::S4"", ""n::G18::S4"", ""n::G20::S3"", ""n::G18::S3"", ""n::G2::S4"", ""n::G1::S4"", ""D1""]",True,"{""S3"": 1.748, ""S4"": 9.636}",108.14742898865232,114.99417300474819,61.887134000000025,0.12168064999999986
coload-70,51700.426665000006,11290.543029865012,150,1.0,4886.337814966663,14640.908697000003,2600.260607738077,326.8565439131464,25641.09064999999,4f6fcc31c25fe9b387080c0c5a18ec42ae4b940df40a44d3489bfd1e36734bd8,0600d062d4dfbac48d38211ac90181416396e3f1370daed66f0dbfcc608f0a11,30,198,"{""1"": 29, ""2"": 43, ""3"": 46, ""4"": 80}",K1,1,"[""D2"", ""n::G11::S1"", ""n::G16::S1"", ""n::G17::S1"", ""n::G19::S1"", ""n::G5::S1"", ""n::G20::S1"", ""n::G19::S3"", ""D2""]",True,"{""S1"": 8.073, ""S3"": 1.47}",98.18170132214196,144.13468759100442,84.540155,0.0
coload-80,51700.426665000006,12658.145376024047,193,1.0,4798.836668266657,14236.337994000003,2975.719869553527,310.903361965084,39638.472347999974,a790fde5ca8fad57ca1f01557ef3fdb8a36a6e07d8690fd61241853ca53b89d1,f4cd5d4cc6fd6050ea6ee171f52639677cb03c54bb737d526904450c27c5d172,32,247,"{""1"": 53, ""2"": 56, ""3"": 58, ""4"": 80}",K1,1,"[""D2"", ""n::G12::S1"", ""n::G5::S2"", ""n::G15::S2"", ""n::G9::S2"", ""n::G8::S1"", ""D2""]",True,"{""S1"": 3.88, ""S2"": 3.8840000000000003}",123.07720545002498,142.57417251505902,44.031463,1.220521000000002
coload-120,51700.426665000006,18128.55476066022,123,1.0,4655.158872133335,14287.162513999998,2832.1316850353833,385.0772737034104,35799.827884000006,22bd4af9a735fd215c0e96fd22bc8e8964663e767f1759891a38acdcf711b2f8,33ab007a3cb0a01d78a07c4a786c344540a7649333e1120f193f51f6cea51872,32,224,"{""1"": 49, ""2"": 44, ""3"": 51, ""4"": 80}",K4,1,"[""D2"", ""n::G14::S1"", ""n::G18::S1"", ""n::G11::S1"", ""n::G15::S3"", ""n::G19::S3"", ""D2""]",True,"{""S1"": 3.518, ""S3"": 3.097}",134.67060352149994,185.27758934857707,63.98446700000003,1.1446138333333373
coload-130,51700.426665000006,19496.157106819286,159,1.0,4379.6618535666685,14720.439686000002,5101.239013045942,350.4946388261337,35638.29090099999,2f6f5573e6f1ec1444a1582c4003f5d7efbdf602e0ccdd27771f3eab98c972d2,8b0dd860486f7230c2d8c6b782a02cec54cc249af31f15caf78c6cbeafeeca74,32,233,"{""1"": 51, ""2"": 45, ""3"": 57, ""4"": 80}",K1,1,"[""D2"", ""n::G12::S1"", ""n::G11::S1"", ""n::G17::S1"", ""n::G19::S1"", ""n::G3::S1"", ""n::G5::S1"", ""n::G19::S3"", ""D2""]",True,"{""S1"": 10.203, ""S3"": 1.47}",131.41440897635178,165.38549484978194,53.396969000000006,0.2977660000000018
