scale,instance,iteration,episode_reward,best_objective
small,0,0,-12.0,976.6354017409557
small,0,1,-6.80836296081543,129.6278507437171
small,0,2,-4.860235691070557,861.4256382816499
small,0,3,-3.9244747161865234,925.1351568751749
small,0,4,-2.880861282348633,459.56057280901234
small,0,5,-4.998749732971191,1264.70745501903
small,0,6,-9.857994079589844,445.8556424151024
small,0,7,-5.867541313171387,493.17634628650967
small,0,8,-8.97919750213623,1112.6515788081565
small,0,9,-3.9547858238220215,1105.2682115695172
small,0,10,-10.927642822265625,867.0843829530211
small,0,11,-2.7882797718048096,203.8314804579318
small,0,12,-8.932374954223633,1430.7743597421195
small,0,13,-6.846945762634277,977.9321698825347
small,0,14,-12.0,1038.588135032061
small,0,15,-4.839338302612305,223.35089853211727
small,0,16,-12.0,955.2145901116596
small,0,17,-2.8230795860290527,1275.6581037108951
small,0,18,-1.8183318376541138,411.4977441386956
small,0,19,-12.0,814.8100723855945
large,0,0,-2.0440423488616943,11897.49210914342
large,0,1,-1.972625494003296,6593.1611095837025
large,0,2,-2.959402084350586,14894.415762903584
large,0,3,-3.9981067180633545,11333.175894020755
large,0,4,-1.0171096324920654,22835.88176443228
large,0,5,-4.911345481872559,8134.815178760953
large,0,6,-3.0282623767852783,15697.864029278067
large,0,7,-2.0303502082824707,18193.94100073314
large,0,8,-1.9188835620880127,19957.979728135426
large,0,9,-4.982677459716797,18610.60453944954
large,0,10,-3.9655954837799072,5323.852397072251
large,0,11,-1.966118574142456,18179.98138019151
large,0,12,-2.0177981853485107,26580.161188746275
large,0,13,-3.014258623123169,29497.403648706484
large,0,14,-1.9643027782440186,6440.1910055895005
large,0,15,-2.984896183013916,14093.927784994597
large,0,16,-2.9532930850982666,13961.018477818161
large,0,17,-2.9473257064819336,17007.881434125968
large,0,18,-1.962423324584961,25690.368051345835
large,0,19,0.018823686987161636,26072.109428782824
