scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,fallback_used,fallback_reason,runtime_seconds,ppo_train_time,solver_status,gap_percent,gap_baseline
small,0,1.00_0.00,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,1523.3888989999998,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,8.79995059221983e-06,,,20.132489468653343,MILP
small,0,1.00_0.00,GA,1523.3888989999998,7.043549648846332,1.0,1.0,1523.3888989999998,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,3.1000758999725804,,,20.132489468653343,MILP
small,0,1.00_0.00,PPO,1315.982713,6.005945456190973,0.8638521088501119,0.8526873175622026,1315.982713,0.8638521088501119,0.8638521088501119,1523.3888989999998,7.043549648846332,100.0,1033.0259999999998,182.956713,1.914890456190972,0.0,4.091055000000001,0.0,True,0,False,,0.3081385000841692,1.4930346999317408,,3.7767043689100444,MILP
small,0,1.00_0.00,MILP,1268.090677,5.414060541309027,0.8324142822836732,0.7686551257853063,1268.090677,0.8324142822836732,0.8324142822836732,1523.3888989999998,7.043549648846332,150.0,927.018,191.07267699999997,1.1235659426109863,0.1994395986980399,4.091055000000001,0.0,True,0,False,,15.684692399925552,,optimal,0.0,MILP
small,0,0.75_0.25,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,1144.3025616622117,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,3.6999117583036414e-06,,,22.564842733788147,MILP
small,0,0.75_0.25,GA,1523.3888989999998,7.043549648846332,1.0,1.0,1144.3025616622117,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,2.9647056000540037,,,22.564842733788147,MILP
small,0,0.75_0.25,PPO,1331.669713,5.474848022203406,0.874149545053236,0.7772853596765852,1000.1209967555508,0.8499334987090734,0.8499334987090734,1523.3888989999998,7.043549648846332,100.0,1048.713,182.956713,1.383793022203405,0.0,4.091055000000001,0.0,True,0,False,,0.3008711999282241,1.4930346999317408,,4.1719656034559165,MILP
small,0,0.75_0.25,MILP,1268.090677,5.397724048066742,0.8324142822836732,0.7663357706225353,952.4174387620166,0.8158946543683887,0.8158946543683887,1523.3888989999998,7.043549648846332,150.0,927.018,191.072677,1.107229449368701,0.1994395986980399,4.091055000000001,0.0,True,0,False,,44.38434570003301,,optimal,0.0,MILP
small,0,0.50_0.50,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,765.216224324423,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,3.400025889277458e-06,,,,
small,0,0.50_0.50,GA,1523.3888989999998,7.043549648846332,1.0,1.0,765.216224324423,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,2.906194500043057,,,,
small,0,0.50_0.50,PPO,1388.9087129999998,5.145124879056174,0.911723010395916,0.7304732891176393,697.026918939528,0.8210981497567776,0.8210981497567776,1523.3888989999998,7.043549648846332,150.0,1055.9519999999998,182.956713,1.0540698790561729,0.0,4.091055000000001,0.0,True,0,False,,0.2993899000575766,1.4930346999317408,,,
small,0,0.50_0.50,MILP,1707.0876770000048,2.443239904296669,1.1205856089148285,0.3468762237939004,854.7654584521507,0.7337309163543644,0.7337309163543644,1523.3888989999998,7.043549648846332,250.0,1266.015,191.0726770000049,0.9471994821814907,0.1505394221153402,1.3455009999998375,0.0,True,0,False,,180.1081916000694,,solver_status_1,,
small,0,0.25_0.75,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,386.1298869866347,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,1.4299992471933363e-05,,,,
small,0,0.25_0.75,GA,1523.3888989999998,7.043549648846332,1.0,1.0,386.1298869866347,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,3.319737400044687,,,,
small,0,0.25_0.75,PPO,1388.908713,5.145124879056174,0.911723010395916,0.7304732891176393,351.0860219092921,0.7757857194372085,0.7757857194372085,1523.3888989999998,7.043549648846332,150.0,1055.952,182.956713,1.0540698790561729,0.0,4.091055000000001,0.0,True,0,False,,0.4421319999964908,1.4930346999317408,,,
small,0,0.25_0.75,MILP,2145.449677000001,1.517930904296851,1.4083401017352442,0.2155065244049886,537.500867428223,0.5137149187375525,0.5137149187375525,1523.3888989999998,7.043549648846332,300.0,1654.377,191.07267700000125,0.9471994821815092,0.1505394221153418,0.420192,0.0,True,0,False,,180.04169589991216,,solver_status_1,,
small,0,0.00_1.00,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,7.043549648846332,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,1.00000761449337e-05,,,,
small,0,0.00_1.00,GA,1523.3888989999998,7.043549648846332,1.0,1.0,7.043549648846332,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.216899,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,3.0825263999868184,,,,
small,0,0.00_1.00,PPO,1441.048713,5.139734505657806,0.9459493330599622,0.7297079969471993,5.139734505657806,0.7297079969471993,0.7297079969471993,1523.3888989999998,7.043549648846332,150.0,1108.092,182.956713,1.0486795056578049,0.0,4.091055000000001,0.0,True,0,False,,0.4417735999450087,1.4930346999317408,,,
small,0,0.00_1.00,MILP,2950.00671299994,1.0383659098017368,1.9364764407410455,0.1474208263686778,1.0383659098017368,0.1474208263686778,0.1474208263686778,1523.3888989999998,7.043549648846332,300.0,2467.0499999999997,182.95671299994112,1.0383659098017368,0.0,0.0,0.0,True,0,False,,180.0551382000558,,solver_status_1,,
large,0,1.00_0.00,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,30353.908341999995,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.407,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,False,,3.2999087125062943e-06,,,49.49311039121894,PPO
large,0,1.00_0.00,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,31357.173342,1.033052251087278,1.033052251087278,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,False,,22.776536699966528,,,54.43419421168767,PPO
