scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,runtime_seconds,ppo_train_time,solver_status
small,0,1.00_0.00,Heuristic,1792.827308,11.610967373272793,1.0,1.0,1792.827308,1.0,1.0,1792.827308,11.610967373272793,150.0,1550.529,92.298308,6.127603153196568,0.11843122007622399,5.364933000000001,0.0,True,0,8.600065484642982e-06,,
small,0,1.00_0.00,GA,1792.8273079999997,10.044148361498333,0.9999999999999999,0.8650569791987264,1792.8273079999997,0.9999999999999999,0.9999999999999999,1792.827308,11.610967373272793,150.0,1550.5289999999998,92.29830799999999,4.599313456847581,0.079901904650752,5.364933000000001,0.0,True,0,3.02463910006918,,
small,0,1.00_0.00,PPO,1792.8273079999997,11.695538047738037,0.9999999999999999,1.007283688925,1792.8273079999997,0.9999999999999999,0.9999999999999999,1792.827308,11.610967373272793,150.0,1550.5289999999998,92.29830799999999,6.200721145339379,0.129883902398656,5.364933000000001,0.0,True,0,0.4949353999691084,1.7817793000722304,
small,0,1.00_0.00,MILP,1792.8273079999992,10.556572004691617,0.9999999999999997,0.9091897053290942,1792.8273079999992,0.9999999999999997,0.9999999999999997,1792.827308,11.610967373272793,150.0,1550.5289999999998,92.2983079999995,5.1172854609658565,0.07435354372575978,5.364933000000001,0.0,True,0,23.539393299957737,,optimal
small,0,0.75_0.25,Heuristic,1792.827308,11.610967373272793,1.0,1.0,1347.523222843318,1.0,1.0,1792.827308,11.610967373272793,150.0,1550.529,92.298308,6.127603153196568,0.11843122007622399,5.364933000000001,0.0,True,0,3.100023604929447e-06,,
small,0,0.75_0.25,GA,1792.827308,10.044148361498333,1.0,0.8650569791987264,1347.1315180903746,0.9662642447996816,0.9662642447996816,1792.827308,11.610967373272793,150.0,1550.529,92.29830799999999,4.599313456847581,0.079901904650752,5.364933000000001,0.0,True,0,2.523380700033158,,
small,0,0.75_0.25,PPO,1792.8273079999997,9.95957768703309,0.9999999999999999,0.8577732902737264,1347.110375421758,0.9644433225684315,0.9644433225684315,1792.827308,11.610967373272793,150.0,1550.5289999999998,92.29830799999999,4.526195464704768,0.06844922232832001,5.364933000000001,0.0,True,0,0.3010039000073448,1.7817793000722304,
small,0,0.75_0.25,MILP,1792.8273080000001,9.959577687033091,1.0000000000000002,0.8577732902737265,1347.1103754217584,0.9644433225684319,0.9644433225684319,1792.827308,11.610967373272793,150.0,1550.529,92.29830800000012,4.52619546470477,0.06844922232832011,5.364933000000001,0.0,True,0,17.607655100058764,,optimal
small,0,0.50_0.50,Heuristic,1792.827308,11.610967373272793,1.0,1.0,902.2191376866364,1.0,1.0,1792.827308,11.610967373272793,150.0,1550.529,92.298308,6.127603153196568,0.11843122007622399,5.364933000000001,0.0,True,0,3.400025889277458e-06,,
small,0,0.50_0.50,GA,1792.827308,9.95957768703309,1.0,0.8577732902737264,901.3934428435165,0.9288866451368631,0.9288866451368631,1792.827308,11.610967373272793,150.0,1550.529,92.29830799999999,4.526195464704768,0.06844922232832,5.364933000000001,0.0,True,0,2.6425550000276417,,
small,0,0.50_0.50,PPO,1792.827308,9.95957768703309,1.0,0.8577732902737264,901.3934428435165,0.9288866451368631,0.9288866451368631,1792.827308,11.610967373272793,150.0,1550.529,92.298308,4.526195464704768,0.06844922232832,5.364933000000001,0.0,True,0,0.284764000098221,1.7817793000722304,
small,0,0.50_0.50,MILP,1792.827308,9.95957768703309,1.0,0.8577732902737264,901.3934428435165,0.9288866451368631,0.9288866451368631,1792.827308,11.610967373272793,150.0,1550.529,92.29830799999999,4.5261954647047675,0.06844922232832001,5.364933000000001,0.0,True,0,13.937920900061727,,optimal
