scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,runtime_seconds,ppo_train_time,solver_status,gap_to_milp_percent,gap_to_ppo_percent
small,0,1.00_0.00,Heuristic,2048.886681,15.483690663566074,1.0,1.0,2048.886681,1.0,1.0,2048.886681,15.483690663566074,150.0,1782.744,116.14268100000001,8.771234097056988,0.506661566509086,6.205795,0.0,True,0,8.400063961744308e-06,,,49.742093348100134,36.03897707954483
small,0,1.00_0.00,GA,1506.102681,14.43522818223333,0.7350834455446392,0.9322860095752344,1506.102681,0.7350834455446392,0.7350834455446392,2048.886681,15.483690663566074,150.0,1239.96,116.14268099999998,7.80661811175516,0.4228150704781699,6.205795,0.0,True,0,9.470153499976732,,,10.072933921388449,1.510336046001646e-14
small,0,1.00_0.00,PPO,1506.1026809999998,16.709171762374012,0.7350834455446391,1.079146575931768,1506.1026809999998,0.7350834455446391,0.7350834455446391,2048.886681,15.483690663566074,150.0,1239.9599999999998,116.14268099999998,9.913709869698362,0.58966689267565,6.205795,0.0,True,0,0.6055043999804184,1.5150849999627098,,10.072933921388433,0.0
small,0,1.00_0.00,MILP,1368.2770389999996,11.022627044891694,0.6678148926870786,0.7118862863121198,1368.2770389999996,0.6678148926870786,0.6678148926870786,2048.886681,15.483690663566074,150.0,1101.189,117.08803899999955,4.6068731284213085,0.20995891647038595,6.205794999999999,0.0,True,0,59.607296499889344,,optimal,0.0,-9.151145120363823
small,0,0.75_0.25,Heuristic,2048.886681,15.483690663566074,1.0,1.0,1540.5359334158916,1.0,1.0,2048.886681,15.483690663566074,150.0,1782.744,116.14268100000001,8.771234097056988,0.506661566509086,6.205795,0.0,True,0,3.200024366378784e-06,,,,30.875657343015288
small,0,0.75_0.25,GA,1585.3656810000002,13.217777756665438,0.7737693332196541,0.8536580873297575,1192.3287051891666,0.7937415217471799,0.7937415217471799,2048.886681,15.483690663566074,150.0,1319.2230000000002,116.14268099999998,6.78675354193064,0.22522921473479698,6.205795,0.0,True,0,7.973992199986242,,,,3.8814434191074416
small,0,0.75_0.25,PPO,1626.930681,10.438612616013977,0.7940559602866588,0.6741682485672859,1222.8076639040037,0.7640840323568155,0.7640840323568155,2048.886681,15.483690663566074,150.0,1360.788,116.14268099999998,4.150318638975624,0.08249897703835199,6.205795,0.0,True,0,0.31468710000626743,1.5150849999627098,,,0.0
small,0,0.75_0.25,MILP,1368.2770410000182,11.022627065087189,0.6678148936632275,0.7118862876164274,1028.9634375162855,0.6788327421515274,0.6788327421515274,2048.886681,15.483690663566074,150.0,1101.1889999999999,117.0880410000183,4.606873148616394,0.20995891647038403,6.205795000000411,0.0,True,0,60.14822899992578,,solver_status_1,,-11.157318644957241
small,0,0.50_0.50,Heuristic,2048.886681,15.483690663566074,1.0,1.0,1032.185185831783,1.0,1.0,2048.886681,15.483690663566074,150.0,1782.744,116.14268100000001,8.771234097056988,0.506661566509086,6.205795,0.0,True,0,3.500026650726795e-06,,,,36.218977179319566
small,0,0.50_0.50,GA,1585.3656810000002,13.217777756665438,0.7737693332196541,0.8536580873297575,799.2917293783328,0.8137137102747058,0.8137137102747058,2048.886681,15.483690663566074,150.0,1319.2230000000002,116.14268099999998,6.78675354193064,0.22522921473479698,6.205795,0.0,True,0,8.895867999992333,,,,10.84324933040961
small,0,0.50_0.50,PPO,1626.9306809999998,10.438612616013977,0.7940559602866587,0.6741682485672859,818.6846468080068,0.7341121044269723,0.7341121044269723,2048.886681,15.483690663566074,150.0,1360.7879999999998,116.14268099999998,4.150318638975624,0.08249897703835199,6.205795,0.0,True,0,0.43702589999884367,1.5150849999627098,,,0.0
