experiment,method,method_id,model_id,test_scale,preference_id,preference,risk_mean,risk_sd,risk_n,risk_mean_sd,solver_status_scope,transport_risk_mean,transport_risk_sd,transport_risk_pct_share,transport_risk_mean_sd_share,coload_risk_mean,coload_risk_sd,coload_risk_pct_share,coload_risk_mean_sd_share,producer_inventory_risk_mean,producer_inventory_risk_sd,producer_inventory_risk_pct_share,producer_inventory_risk_mean_sd_share,facility_inventory_risk_mean,facility_inventory_risk_sd,facility_inventory_risk_pct_share,facility_inventory_risk_mean_sd_share
E1,启发式,heuristic,Heuristic,Test-1,C050-R050,"(0.5,0.5)",11.77588257,3.787906083,50,11.776 ± 3.788,,6.790835948,2.931021874,57.66732054,6.791 ± 2.931 (57.7%),0.3568154214,0.4266169395,3.030052476,0.357 ± 0.427 (3.0%),4.6282312,1.260434742,39.30262698,4.628 ± 1.260 (39.3%),0,0,0,0.000 ± 0.000 (0.0%)
E1,启发式,heuristic,Heuristic,Test-1,C025-R075,"(0.25,0.75)",11.77588257,3.787906083,50,11.776 ± 3.788,,6.790835948,2.931021874,57.66732054,6.791 ± 2.931 (57.7%),0.3568154214,0.4266169395,3.030052476,0.357 ± 0.427 (3.0%),4.6282312,1.260434742,39.30262698,4.628 ± 1.260 (39.3%),0,0,0,0.000 ± 0.000 (0.0%)
E1,启发式,heuristic,Heuristic,Test-1,C000-R100,"(0,1)",11.77588257,3.787906083,50,11.776 ± 3.788,,6.790835948,2.931021874,57.66732054,6.791 ± 2.931 (57.7%),0.3568154214,0.4266169395,3.030052476,0.357 ± 0.427 (3.0%),4.6282312,1.260434742,39.30262698,4.628 ± 1.260 (39.3%),0,0,0,0.000 ± 0.000 (0.0%)
E1,MILP,milp,MILP,Test-1,C100-R000,"(1,0)",9.475783362,2.529519523,50,9.476 ± 2.530,optimal:n=50,4.601055125,1.980448266,48.5559341,4.601 ± 1.980 (48.6%),0.2464970377,0.2861038519,2.601336779,0.246 ± 0.286 (2.6%),4.6282312,1.260434742,48.84272912,4.628 ± 1.260 (48.8%),0,0,0,0.000 ± 0.000 (0.0%)
E1,MILP,milp,MILP,Test-1,C075-R025,"(0.75,0.25)",7.698220129,2.242861625,50,7.698 ± 2.243,optimal:n=49; solver_status_1:n=1,3.102923923,1.491282529,40.30703034,3.103 ± 1.491 (40.3%),0.1229455261,0.1567566726,1.597064309,0.123 ± 0.157 (1.6%),4.47235068,1.405076045,58.09590535,4.472 ± 1.405 (58.1%),0,0,0,0.000 ± 0.000 (0.0%)
E1,MILP,milp,MILP,Test-1,C050-R050,"(0.5,0.5)",5.740618854,2.594985337,50,5.741 ± 2.595,optimal:n=26; solver_status_1:n=24,2.920662712,1.429583983,50.87714037,2.921 ± 1.430 (50.9%),0.1480601215,0.1404878468,2.579166555,0.148 ± 0.140 (2.6%),2.67189602,1.631932333,46.54369308,2.672 ± 1.632 (46.5%),0,0,0,0.000 ± 0.000 (0.0%)
E1,MILP,milp,MILP,Test-1,C025-R075,"(0.25,0.75)",3.371123364,1.752973613,50,3.371 ± 1.753,optimal:n=2; solver_status_1:n=48,2.770225897,1.415180307,82.17515639,2.770 ± 1.415 (82.2%),0.1216838677,0.1170666558,3.609594029,0.122 ± 0.117 (3.6%),0.4792136,0.6062530697,14.21524958,0.479 ± 0.606 (14.2%),0,0,0,0.000 ± 0.000 (0.0%)
E1,MILP,milp,MILP,Test-1,C000-R100,"(0,1)",2.680519352,1.321735728,50,2.681 ± 1.322,optimal:n=2; solver_status_1:n=48,2.605205249,1.324481191,97.19031676,2.605 ± 1.324 (97.2%),0.06062856287,0.05875408217,2.261821495,0.061 ± 0.059 (2.3%),0.01468554,0.074027637,0.5478617415,0.015 ± 0.074 (0.5%),0,0,0,0.000 ± 0.000 (0.0%)
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C100-R000,"(1,0)",859.48842,97.92768727,50,859.488 ± 97.928,,392.3798038,83.2542268,45.65271558,392.380 ± 83.254 (45.7%),111.2491085,32.29877799,12.94364251,111.249 ± 32.299 (12.9%),355.8595077,17.86381689,41.40364191,355.860 ± 17.864 (41.4%),0,0,0,0.000 ± 0.000 (0.0%)
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C075-R025,"(0.75,0.25)",736.1730281,75.17990335,50,736.173 ± 75.180,,300.3845346,62.4334989,40.80352351,300.385 ± 62.433 (40.8%),81.04217848,24.09730704,11.00857752,81.042 ± 24.097 (11.0%),354.746315,17.81106122,48.18789897,354.746 ± 17.811 (48.2%),0,0,0,0.000 ± 0.000 (0.0%)
