experiment,method,method_id,model_id,test_scale,preference_id,preference,cost_mean,cost_sd,cost_mean_sd,risk_mean,risk_sd,risk_mean_sd,j_mean,j_sd,j_mean_sd,strict_feasible_percent,strict_feasible_sd_percent,terminal_clear_percent,terminal_clear_sd_percent,time_measurement,solve_segment_seconds_mean,solve_segment_seconds_sd,solve_segment_seconds_mean_sd,initialization_seconds_mean,initialization_seconds_sd,initialization_seconds_mean_sd,quality_complete_n,expected_n,gap_percent_mean,gap_percent_sd,gap_valid_n,gap_mean_sd,solver_status_scope,solve_segment_concurrency_scope,outcome_disclosure,technical_failure_instances,infeasible_instances,missing_instances,incomplete_quality_instances,technical_failure_instance_preferences,infeasible_instance_preferences,missing_instance_preferences,incomplete_quality_instance_preferences
E1,启发式,heuristic,Heuristic,Test-1,C100-R000,"(1,0)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,28.80084927,21.68930564,50,28.80 ± 21.69,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,启发式,heuristic,Heuristic,Test-1,C075-R025,"(0.75,0.25)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,32.09221163,21.18283675,49,32.09 ± 21.18,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,启发式,heuristic,Heuristic,Test-1,C050-R050,"(0.5,0.5)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,42.64721635,27.14472019,26,42.65 ± 27.14,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,启发式,heuristic,Heuristic,Test-1,C025-R075,"(0.25,0.75)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,40.10016906,14.81589061,2,40.10 ± 14.82,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,启发式,heuristic,Heuristic,Test-1,C000-R100,"(0,1)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,210.2548188,136.4289507,2,210.25 ± 136.43,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,MILP,milp,MILP,Test-1,C100-R000,"(1,0)",1222.754157,170.6424268,1222.75 ± 170.64,9.475783362,2.529519523,9.476 ± 2.530,0.7972241937,0.1278318004,0.7972 ± 0.1278,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),15.4795726,11.83029429,15.4796 ± 11.8303,,,,50,50,,,0,—,optimal:n=50,纳入最终时间口径批次=1，整批墙钟合计=3651.461s：batch6[methods=milp; models=MILP; scales=Test-1; workers=8; 该方法完成数=250; 整批墙钟=3651.461s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,MILP,milp,MILP,Test-1,C075-R025,"(0.75,0.25)",1243.777267,173.1573554,1243.78 ± 173.16,7.698220129,2.242861625,7.698 ± 2.243,0.7777445949,0.118140052,0.7777 ± 0.1181,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),52.53973494,42.65012523,52.5397 ± 42.6501,,,,50,50,,,0,—,optimal:n=49; solver_status_1:n=1,纳入最终时间口径批次=1，整批墙钟合计=3651.461s：batch6[methods=milp; models=MILP; scales=Test-1; workers=8; 该方法完成数=250; 整批墙钟=3651.461s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,MILP,milp,MILP,Test-1,C050-R050,"(0.5,0.5)",1443.436818,225.9320728,1443.44 ± 225.93,5.740618854,2.594985337,5.741 ± 2.595,0.7168968223,0.1206266239,0.7169 ± 0.1206,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),129.4816162,60.25157713,129.4816 ± 60.2516,,,,50,50,,,0,—,optimal:n=26; solver_status_1:n=24,纳入最终时间口径批次=1，整批墙钟合计=3651.461s：batch6[methods=milp; models=MILP; scales=Test-1; workers=8; 该方法完成数=250; 整批墙钟=3651.461s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,MILP,milp,MILP,Test-1,C025-R075,"(0.25,0.75)",2063.304986,413.599074,2063.30 ± 413.60,3.371123364,1.752973613,3.371 ± 1.753,0.554844761,0.1238716779,0.5548 ± 0.1239,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),177.2508408,14.84803872,177.2508 ± 14.8480,,,,50,50,,,0,—,optimal:n=2; solver_status_1:n=48,纳入最终时间口径批次=1，整批墙钟合计=3651.461s：batch6[methods=milp; models=MILP; scales=Test-1; workers=8; 该方法完成数=250; 整批墙钟=3651.461s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,MILP,milp,MILP,Test-1,C000-R100,"(0,1)",2839.967159,447.0564622,2839.97 ± 447.06,2.680519352,1.321735728,2.681 ± 1.322,0.2336066152,0.09642751992,0.2336 ± 0.0964,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),177.9138341,14.94936357,177.9138 ± 14.9494,,,,50,50,,,0,—,optimal:n=2; solver_status_1:n=48,纳入最终时间口径批次=1，整批墙钟合计=3651.461s：batch6[methods=milp; models=MILP; scales=Test-1; workers=8; 该方法完成数=250; 整批墙钟=3651.461s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C100-R000,"(1,0)",11927.20584,890.7514702,11927.21 ± 890.75,859.48842,97.92768727,859.488 ± 97.928,0.6536495634,0.03337814043,0.6536 ± 0.0334,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),36.3522321,1.915279939,36.3522 ± 1.9153,,,,50,50,,,0,—,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C075-R025,"(0.75,0.25)",12210.37259,876.426623,12210.37 ± 876.43,736.1730281,75.17990335,736.173 ± 75.180,0.6397690215,0.03464018209,0.6398 ± 0.0346,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),36.29569529,1.500466258,36.2957 ± 1.5005,,,,50,50,,,0,—,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C050-R050,"(0.5,0.5)",13287.45918,999.8017314,13287.46 ± 999.80,647.0769857,54.56602544,647.077 ± 54.566,0.6064600094,0.03211944618,0.6065 ± 0.0321,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),36.69208693,2.475729682,36.6921 ± 2.4757,,,,50,50,,,0,—,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
