model_id,macro_j_mean_Test-1,macro_j_sd_by_instance_Test-1,valid_macro_j_instances_Test-1,expected_instances_Test-1,quality_cells_Test-1,expected_instance_preference_cells_Test-1,quality_missing_cells_Test-1,two_model_relative_gap_percent_Test-1,display_Test-1,macro_j_mean_Test-2,macro_j_sd_by_instance_Test-2,valid_macro_j_instances_Test-2,expected_instances_Test-2,quality_cells_Test-2,expected_instance_preference_cells_Test-2,quality_missing_cells_Test-2,two_model_relative_gap_percent_Test-2,display_Test-2,macro_j_mean_Test-3,macro_j_sd_by_instance_Test-3,valid_macro_j_instances_Test-3,expected_instances_Test-3,quality_cells_Test-3,expected_instance_preference_cells_Test-3,quality_missing_cells_Test-3,two_model_relative_gap_percent_Test-3,display_Test-3,macro_j_mean_Test-4,macro_j_sd_by_instance_Test-4,valid_macro_j_instances_Test-4,expected_instances_Test-4,quality_cells_Test-4,expected_instance_preference_cells_Test-4,quality_missing_cells_Test-4,two_model_relative_gap_percent_Test-4,display_Test-4
Train-S,0.6286409159,0.09995409442,50,50,250,250,0,0,"0.6286 ± 0.1000 [0.00%]; n=50/50, 缺失质量单元=0",0.5493131696,0.06091606778,50,50,250,250,0,0,"0.5493 ± 0.0609 [0.00%]; n=50/50, 缺失质量单元=0",0.4862175351,0.03135063109,50,50,250,250,0,0,"0.4862 ± 0.0314 [0.00%]; n=50/50, 缺失质量单元=0",0.5522875506,0.03049556294,50,50,250,250,0,0,"0.5523 ± 0.0305 [0.00%]; n=50/50, 缺失质量单元=0"
Train-L,0.6373921533,0.09798578632,50,50,250,250,0,1.39208842,"0.6374 ± 0.0980 [1.39%]; n=50/50, 缺失质量单元=0",0.5548855359,0.05855443878,50,50,250,250,0,1.014424307,"0.5549 ± 0.0586 [1.01%]; n=50/50, 缺失质量单元=0",0.4901366154,0.02975087411,50,50,250,250,0,0.8060343529,"0.4901 ± 0.0298 [0.81%]; n=50/50, 缺失质量单元=0",0.5594434526,0.02781653136,50,50,250,250,0,1.295684096,"0.5594 ± 0.0278 [1.30%]; n=50/50, 缺失质量单元=0"
