archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-large-r0-B40320,Test-1,large,0,13,"(0.65, 0.35)",1920,1116,804,positive_probability_action_space_exhausted,140,1.1936226000107126,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,14,"(0.7, 0.30000000000000004)",1920,1116,804,positive_probability_action_space_exhausted,140,1.249581299998681,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,15,"(0.75, 0.25)",1920,1119,801,positive_probability_action_space_exhausted,140,1.2058665000076871,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,16,"(0.8, 0.19999999999999996)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1673258999944665,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,17,"(0.85, 0.15000000000000002)",1920,1175,745,positive_probability_action_space_exhausted,147,1.2578982999984873,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,18,"(0.9, 0.09999999999999998)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1609382000024198,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,19,"(0.95, 0.050000000000000044)",1920,1185,735,positive_probability_action_space_exhausted,149,1.242490100004943,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,20,"(1.0, 0.0)",1920,1145,775,positive_probability_action_space_exhausted,144,1.1963092999940272,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,0,"(0.0, 1.0)",1920,1581,339,positive_probability_action_space_exhausted,198,1.7561753000045428,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,1,"(0.05, 0.95)",1920,1184,736,positive_probability_action_space_exhausted,149,1.2939890999987256,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,2,"(0.1, 0.9)",1920,1377,543,positive_probability_action_space_exhausted,173,1.556830200002878,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,3,"(0.15, 0.85)",1920,1505,415,positive_probability_action_space_exhausted,189,1.661345500004245,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,4,"(0.2, 0.8)",1920,1416,504,positive_probability_action_space_exhausted,178,1.6450122999958694,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,5,"(0.25, 0.75)",1920,1664,256,positive_probability_action_space_exhausted,209,1.9775230000086594,1,1
