archive_id,instance,model,algorithm,repeat,budget,run_origin,execution_workers,execution_workers_scope,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,preference_initialization_evaluations,objective_evaluations_total_excluding_preparation
NSGA-Test-4-r0-B120960,Test-4,,NSGA,0,120960,v4_reused,16,historical_batch,3399.6796694999794,130,success,130,130,0.021096199983730912,120960,75472,45488,10215,10559,10559,0,0,0,75472
PPO-Test-4-small-r0-B40320,Test-4,small,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,534.0389051000093,59,success,59,59,0.013013900010264479,40320,28302,572,4955,11446,5181,0,21,21,28344
PPO-Test-4-large-r0-B40320,Test-4,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,616.6282304999913,23,success,23,23,0.013013299991143867,40320,38549,28,2654,1743,2654,0,21,21,38591
NSGA-Test-4-r1-B40320,Test-4,,NSGA,1,40320,v4_reused,16,historical_batch,1225.9640961000696,19,success,19,19,0.022881500073708594,40320,25909,14411,3513,3629,3629,0,0,0,25909
NSGA-Test-4-r1-B120960,Test-4,,NSGA,1,120960,v4_reused,16,historical_batch,3227.491094200057,120,success,120,120,0.022881500073708594,120960,59884,61076,13869,16809,16809,0,0,0,59884
PPO-Test-4-small-r1-B40320,Test-4,small,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,537.8672264000052,25,success,25,25,0.012983100008568726,40320,28463,545,5208,11312,5426,0,21,21,28505
PPO-Test-4-large-r1-B40320,Test-4,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,612.2778171999962,23,success,23,23,0.012589700010721572,40320,38439,25,2565,1856,2565,0,21,21,38481
NSGA-Test-4-r2-B40320,Test-4,,NSGA,2,40320,v4_reused,16,historical_batch,1228.7877283999696,63,success,63,63,0.014663100009784102,40320,26864,13456,3593,3699,3699,0,0,0,26864
NSGA-Test-4-r2-B120960,Test-4,,NSGA,2,120960,v4_reused,16,historical_batch,3436.10218539997,134,success,134,134,0.014663100009784102,120960,75035,45925,10908,11199,11199,0,0,0,75035
PPO-Test-4-small-r2-B40320,Test-4,small,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,531.1040906000126,47,success,47,47,0.012856100001954474,40320,28048,622,4986,11650,5207,0,21,21,28090
PPO-Test-4-large-r2-B40320,Test-4,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,615.4087085000065,39,success,39,39,0.0126528000109829,40320,38635,30,2587,1655,2587,0,21,21,38677
PPO-capacity-70-large-r0-B40320,capacity-70,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,616.9221686999954,46,success,46,46,0.012280199996894225,40320,38497,51,5593,1772,5594,0,21,21,38539
PPO-capacity-70-large-r1-B40320,capacity-70,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,615.5767613999924,35,success,35,35,0.012463100007153116,40320,38565,38,5608,1717,5608,0,21,21,38607
PPO-capacity-70-large-r2-B40320,capacity-70,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,618.6582372999983,53,success,53,53,0.0129538000037428,40320,38517,55,5541,1748,5541,0,21,21,38559
PPO-capacity-80-large-r0-B40320,capacity-80,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,832.0711969999975,37,success,37,37,0.01218759999028407,40320,38654,37,4272,1629,4273,0,21,21,38696
PPO-capacity-80-large-r1-B40320,capacity-80,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,855.1317315000051,45,success,45,45,0.013031199996476062,40320,38732,33,4361,1555,4361,0,21,21,38774
