scale,variant,iteration,episode_reward,best_objective
small,full_transformer,0,-2.7524983882904053,1253.0047616098102
small,full_transformer,1,-9.030000686645508,1465.3279932190908
small,full_transformer,2,-3.064204454421997,1094.0800501762453
small,full_transformer,3,-5.962031841278076,1252.5763324228299
small,full_transformer,4,-4.919159412384033,534.5344537838608
small,full_transformer,5,-4.080000877380371,164.1002720096053
small,full_transformer,6,-5.069999694824219,846.4683181323114
small,full_transformer,7,-4.959144115447998,1533.561893239877
small,full_transformer,8,-3.8911497592926025,1139.3425100542993
small,full_transformer,9,-4.980494022369385,860.0851221876417
small,full_transformer,10,-2.8835670948028564,395.10655099544516
small,full_transformer,11,-4.0086445808410645,1057.5427183059428
small,full_transformer,12,-5.070000648498535,808.8119673313857
small,full_transformer,13,-6.060000419616699,404.0509533575297
small,full_transformer,14,-4.054894924163818,1142.3083022791036
small,full_transformer,15,-2.9640562534332275,239.83459688111
small,full_transformer,16,-5.989561080932617,559.0406733411071
small,full_transformer,17,-2.8913567066192627,1337.045374759312
small,full_transformer,18,-5.052786827087402,528.3092931894556
small,full_transformer,19,-5.007684707641602,44.692744649387095
small,hybrid_transformer_fc,0,-4.889636516571045,1253.0047616098102
small,hybrid_transformer_fc,1,-5.850165843963623,1307.9264322240756
small,hybrid_transformer_fc,2,-5.880316734313965,957.6579960445986
small,hybrid_transformer_fc,3,-4.884495735168457,1201.0315459021547
small,hybrid_transformer_fc,4,-8.988569259643555,586.8577504215007
small,hybrid_transformer_fc,5,-3.9217326641082764,181.99821183262088
small,hybrid_transformer_fc,6,-4.988125801086426,761.3397981134798
small,hybrid_transformer_fc,7,-3.954699754714966,1604.4037323427283
small,hybrid_transformer_fc,8,-4.908492088317871,1198.0969422187563
small,hybrid_transformer_fc,9,-5.974424362182617,845.3665382112948
small,hybrid_transformer_fc,10,-3.9138917922973633,393.1978132066452
small,hybrid_transformer_fc,11,-3.966200351715088,1037.445468602658
small,hybrid_transformer_fc,12,-3.936675786972046,759.1406686723044
small,hybrid_transformer_fc,13,-5.945188522338867,363.2394221682672
small,hybrid_transformer_fc,14,-5.003535270690918,1091.3095040062137
small,hybrid_transformer_fc,15,-8.001949310302734,265.64331337038567
small,hybrid_transformer_fc,16,-6.060000419616699,584.4264926247073
small,hybrid_transformer_fc,17,-4.964587211608887,1256.0180393109856
small,hybrid_transformer_fc,18,-5.045758247375488,504.79818048577937
small,hybrid_transformer_fc,19,-6.735591888427734,43.31097563377241
small,no_preference_token,0,-2.7524983882904053,1253.0047616098102
small,no_preference_token,1,-9.030000686645508,1465.3279932190908
small,no_preference_token,2,-3.064204454421997,1094.0800501762453
small,no_preference_token,3,-5.962031841278076,1252.5763324228299
small,no_preference_token,4,-9.030000686645508,625.4026726850711
small,no_preference_token,5,-4.080000877380371,164.1002720096053
small,no_preference_token,6,-5.069999694824219,846.4683181323114
small,no_preference_token,7,-4.959144115447998,1533.561893239877
small,no_preference_token,8,-3.8911497592926025,1139.3425100542993
small,no_preference_token,9,-3.9904932975769043,860.0851221876417
small,no_preference_token,10,-3.000731945037842,395.10655099544516
small,no_preference_token,11,-3.9943108558654785,1057.4947315734685
small,no_preference_token,12,-4.080000877380371,808.8119673313857
small,no_preference_token,13,-4.038897514343262,389.8323000978166
small,no_preference_token,14,-3.064894676208496,1142.3083022791036
small,no_preference_token,15,-2.9640562534332275,239.83459688111
small,no_preference_token,16,-7.9936676025390625,559.1474885583466
small,no_preference_token,17,-3.8899972438812256,1256.113733779356
small,no_preference_token,18,-4.06278657913208,528.3092931894556
small,no_preference_token,19,-4.915383338928223,44.692744649387095
small,no_route_arc_tokens,0,-2.7524983882904053,1253.0047616098102
small,no_route_arc_tokens,1,-9.030000686645508,1465.3279932190908
small,no_route_arc_tokens,2,-4.05420446395874,1094.0800501762453
small,no_route_arc_tokens,3,-5.925687313079834,1118.505787608221
small,no_route_arc_tokens,4,-4.919159412384033,534.5344537838608
small,no_route_arc_tokens,5,-4.080000877380371,164.1002720096053
small,no_route_arc_tokens,6,-5.069999694824219,846.4683181323114
small,no_route_arc_tokens,7,-4.959144115447998,1533.561893239877
